time_s,phase,x_m,y_m,z_m,vx_cm_s,vz_cm_s,shell_clearance_cm
0.9,edge,5.024817504414377,-3.691614549865466,0.36203179422483156,37.15100735285712,-3.1427580690657533,21.203179422483156
0.91,edge,5.028589503950306,-3.6917768323540185,0.3618115564500032,38.0477448014667,-1.5980801250638732,21.18115564500032
0.92,edge,5.032418605057043,-3.691923984065833,0.3618002120386615,38.477685989523735,0.6746454353844198,21.180021203866147
0.93,edge,5.036287308848851,-3.6920699988015047,0.36202237727083597,38.778135316696506,3.039610666190959,21.2022377270836
0.9400000000000001,edge,5.040156101010822,-3.6922398427177976,0.3624746620952653,38.70072827158017,5.121092469676777,21.24746620952653
0.9500000000000001,edge,5.044008947870342,-3.6924401078542215,0.3630422488301792,38.459332086720785,5.864668343243046,21.304224883017923
0.96,edge,5.047857963851803,-3.692666047957513,0.3636591368492896,38.51345319153392,6.145290285401927,21.36591368492896
0.97,edge,5.051722109339924,-3.692913180819458,0.3642639612093275,38.713743708113704,5.727903337847632,21.426396120932754
0.98,edge,5.0556125923132695,-3.6931799557865905,0.36478161022169525,39.007377020580485,4.553306509118246,21.478161022169527
0.99,edge,5.059536181171376,-3.693465159690889,0.36514479528634336,39.354776674558664,2.7936734188138885,21.514479528634336
1.0,edge,5.063496440116741,-3.693767529801273,0.3653169282650624,39.72950410718576,0.8396468719415459,21.53169282650624
1.01,edge,5.0674959661203,-3.6940865610038123,0.3652995322839079,40.13495898204739,-0.9918604435191085,21.529953228390788
1.02,edge,5.0715390823818876,-3.69442241346574,0.36512051023076963,40.592104852929104,-2.4435776209953257,21.512051023076964
1.03,edge,5.075633018821966,-3.6947754714132257,0.3648269501179463,41.13446105607356,-3.386055238211558,21.482695011794632
1.04,edge,5.079788702614096,-3.695145708962511,0.36447093062979885,41.800025412522565,-3.8157514455861663,21.447093062979885
1.05,edge,5.084021211836737,-3.6955338267548767,0.3641049862154138,42.643363949713816,-3.6049702956172345,21.410498621541382
1.06,edge,5.088344780038634,-3.695941302220205,0.3638338604359211,43.55899021213418,-2.1942131521600015,21.383386043592107
1.07,edge,5.092748121955275,-3.6963608802679424,0.3637389074871055,44.272448999401746,-0.2810501241966338,21.373890748710554
1.08,edge,5.097051203173613,-3.6967998103007718,0.3638630266358347,44.76810608926945,1.724339087282701,21.38630266358347
1.09,edge,5.1015652063148575,-3.6972164747049736,0.364110593317221,45.07486773631122,2.709314979147688,21.4110593317221
1.1,edge,5.106077470689868,-3.6976238565147264,0.36441343978469065,45.11993055759795,2.8733367494801523,21.441343978469067
1.11,edge,5.110593447640366,-3.698008060391007,0.3646730522162929,45.1100657072353,2.022755856780338,21.467305221629292
1.12,edge,5.1150745960614605,-3.6983566355361077,0.36476979187935477,44.60125989539027,0.050951604870237525,21.476979187935477
1.1300000000000001,edge,5.11951791089007,-3.6986671580985027,0.36468838351859606,44.24180464838513,-1.6410392587943448,21.468838351859606
1.1400000000000001,edge,5.123894440907591,-3.6989244480037304,0.3644474584385315,43.587004848827114,-3.133759984330821,21.44474584385315
1.1500000000000001,edge,5.128229895102704,-3.699140695269408,0.36407879106005164,43.20581408048967,-4.192481745317137,21.407879106005165
1.16,edge,5.132535642029369,-3.6993238803963466,0.36364197969492057,42.98721466268711,-4.641676384838787,21.364197969492057
1.17,edge,5.13683722067443,-3.699469081734495,0.36319176085347965,43.02313571826812,-4.579077044065472,21.319176085347966
1.18,edge,5.141156726762861,-3.6995732310394502,0.3627719776282938,43.281642102981984,-4.151437252751402,21.277197762829378
1.19,edge,5.145513139822985,-3.699635198112857,0.36240552294500555,43.71056409939345,-3.5842932475776794,21.240552294500556
1.2,edge,5.149920337085931,-3.6996564686042084,0.36209132003370076,44.25315732504629,-3.140470341716854,21.209132003370076
1.21,edge,5.154382058368774,-3.6996353022649147,0.36182331127505446,44.77676351221593,-2.652318521019335,21.182331127505446
1.22,edge,5.1588945765975485,-3.699575474285724,0.3615980027666529,45.26798964866586,-2.2968923764191995,21.15980027666529
1.23,edge,5.163453866130684,-3.6994881149718313,0.36139124640860437,45.691121869434284,-2.294460883284764,21.139124640860437
1.24,edge,5.168037878792018,-3.699399291187288,0.3611260102187811,45.870452532861044,-3.155483563417856,21.11260102187811
1.25,edge,5.172631329531545,-3.6993013194924456,0.36074341101445573,46.01683136901584,-4.2127724603106484,21.074341101445572
1.26,edge,5.177253936269795,-3.6992146066573817,0.3603677537185498,46.31188724806768,-3.4421675983934064,21.03677537185498
1.27,edge,5.18179140049373,-3.6991492390866036,0.36014720025095703,46.27056079647048,-1.6245074915637019,21.014720025095706
1.28,edge,5.186302277351891,-3.6990247435593657,0.36014999355246635,45.86585744414264,0.775351667862021,21.014999355246637
1.29,edge,5.190858115773997,-3.698881532813575,0.36037407664735505,45.402746578104576,3.057410488826446,21.037407664735504
1.3,edge,5.19539183644921,-3.6986718364320836,0.3608170666631023,45.28081725840515,5.184705955271599,21.081706666310232
1.31,edge,5.1999168779849745,-3.698374176805922,0.3614485139054044,45.204374202609685,6.819564036109145,21.14485139054044
1.32,edge,5.204431078250813,-3.697985028949964,0.3622184081560909,45.07216272898214,8.052412589999776,21.22184081560909
1.33,edge,5.208931013235081,-3.697520942828802,0.36307514257486134,44.92469007952554,8.633859798114274,21.307514257486133
1.34,edge,5.213417018648694,-3.696996977870129,0.3639392398592382,44.786269033235214,8.343082559343951,21.39392398592382
1.35,edge,5.2178897178445895,-3.6964263389245593,0.36471736262451876,44.64658916329107,7.102028025017912,21.471736262451877
1.36,edge,5.222346799149085,-3.6958212482896498,0.3653218875687764,44.46594011019389,5.06084726716379,21.532188756877645
1.37,edge,5.226782325552554,-3.69519281832632,0.3656924822115901,44.22847316323719,2.576176207872906,21.56924822115901
1.3800000000000001,edge,5.2311907722039415,-3.6945497362917865,0.36580957251939655,43.946649965249826,0.06580687913561026,21.580957251939655
1.3900000000000001,edge,5.235562574022559,-3.6939038073249844,0.36569791625864184,43.580826703934015,-2.0685494014773873,21.569791625864184
1.4000000000000001,edge,5.239906557108593,-3.6932545425683903,0.36540388478727814,43.31144950322219,-3.63535291859088,21.540388478727817
