time_s,jump_idx,requested_height_cm,phase,height_cm,vz_cm_s,measured_rise_cm,ground_contact
0.5100000000000002,0,20.0,crouch,16.04591387072554,37.9943263190891,0.38816690741212967,1
0.5200000000000002,0,20.0,crouch,16.376008178434944,29.116055404962527,0.38816690741212967,1
0.5300000000000002,0,20.0,crouch,16.607815898170973,19.207856848884017,0.38816690741212967,0
0.5400000000000003,0,20.0,crouch,16.740510946090033,9.342018974978709,0.38816690741212967,0
0.5500000000000003,0,20.0,crouch,16.77513218737316,-0.45775056813781473,0.38816690741212967,0
0.5600000000000003,0,20.0,crouch,16.71174046188037,-10.260892240562274,0.38816690741212967,0
0.5700000000000003,0,20.0,crouch,16.550284780982093,-20.06919407154648,0.38816690741212967,0
0.5800000000000003,0,20.0,crouch,16.30723686087957,-25.264439329102075,0.38816690741212967,1
0.5900000000000003,0,20.0,crouch,16.085447734670236,-18.219918615726545,0.38816690741212967,1
0.6000000000000003,0,20.0,crouch,16.019251294525887,1.298819619652454,0.38816690741212967,1
0.6100000000000003,0,20.0,takeoff,17.05285964320703,174.2101867826749,0.38816690741212967,1
0.6200000000000003,0,20.0,takeoff,18.919000687895927,211.0606555453113,0.38816690741212967,1
0.6300000000000003,0,20.0,takeoff,21.044011056034783,208.04593427188203,1.763412037970666,1
0.6400000000000003,0,20.0,takeoff,23.046042139714412,195.0677207290493,3.765443121650294,0
0.6500000000000004,0,20.0,takeoff,24.922853098032185,182.8680927789145,5.642254079968067,0
0.6600000000000004,0,20.0,takeoff,26.682411807908444,171.438690738604,7.401812789844328,0
0.6700000000000004,0,20.0,takeoff,28.33129083074472,160.58292924181302,9.050691812680602,0
0.6800000000000004,0,20.0,takeoff,29.874012749492152,150.10448155226712,10.593413731428033,0
0.6900000000000004,0,20.0,takeoff,31.31345657150877,139.86225308744378,12.03285755344465,0
0.7000000000000004,0,20.0,takeoff,32.65142718427629,129.769371838096,13.37082816621217,0
0.7100000000000004,0,20.0,takeoff,33.889079943122816,119.77278996905707,14.608480925058695,0
0.7200000000000004,0,20.0,takeoff,35.027167028333096,109.83953775080431,15.746568010268977,0
0.7300000000000004,0,20.0,airborne,35.53705108181931,14.843096275445378,16.25645206375519,0
0.7400000000000004,0,20.0,airborne,36.34671039969498,80.86935953137807,17.066111381630858,0
0.7500000000000004,0,20.0,airborne,37.123594490916716,74.3917263750514,17.8429954728526,0
0.7600000000000005,0,20.0,airborne,37.819077926106296,66.29874687457449,18.53847890804218,0
0.7700000000000005,0,20.0,airborne,38.43176257239845,57.85513397716715,19.15116355433433,0
0.7800000000000005,0,20.0,airborne,38.95743506897752,48.991924569457154,19.676836050913398,0
0.7900000000000005,0,20.0,airborne,39.3924736483722,39.81005504308965,20.111874630308087,0
0.8000000000000005,0,20.0,airborne,39.73431897220164,30.410795791234957,20.453719954137526,0
0.8100000000000005,0,20.0,airborne,39.98126104159258,20.867759800379474,20.700662023528462,0
0.8200000000000005,0,20.0,airborne,40.132177618006054,11.23098502600504,20.851578599941938,0
0.8300000000000005,0,20.0,airborne,40.18634112483046,1.533440145531835,20.905742106766343,0
0.8400000000000005,0,20.0,airborne,40.14327573893854,-8.204092297962797,20.905742106766343,0
0.8500000000000005,0,20.0,airborne,40.00267471863978,-17.96664738698343,20.905742106766343,0
0.8600000000000005,0,20.0,airborne,39.7643526578921,-27.744206271454676,20.905742106766343,0
0.8700000000000006,0,20.0,airborne,39.428191513604126,-37.53175142441386,20.905742106766343,0
0.8800000000000006,0,20.0,airborne,38.99411370134578,-47.32583836380234,20.905742106766343,0
0.8900000000000006,0,20.0,airborne,38.4620648770522,-57.124844423724305,20.905742106766343,0
0.9000000000000006,0,20.0,airborne,37.83200115896969,-66.92786004355989,20.905742106766343,0
0.9100000000000006,0,20.0,airborne,37.103888212553215,-76.73393026667912,20.905742106766343,0
0.9200000000000006,0,20.0,airborne,36.27770086514739,-86.5421737530903,20.905742106766343,0
0.9300000000000006,0,20.0,airborne,35.35342200478662,-96.35184065946565,20.905742106766343,0
0.9400000000000006,0,20.0,airborne,34.33104106604642,-106.16234148349591,20.905742106766343,0
