time_s,x_m,y_m,vx_cm_s,vy_cm_s,speed_cm_s,phase,drift_m
0.9400000000000001,0.9278304918537896,-0.08776407787335713,127.88212950549105,-1.4403415737330765,127.89024056083484,STRAIGHT CRUISE,0.0
0.9500000000000001,0.9412855280791133,-0.08780723511212754,138.33029060562393,0.1622453903806588,138.33038575310584,STRAIGHT CRUISE,0.0
0.96,0.9546381819730418,-0.08789996731217942,132.94903150136093,-0.7937689070106217,132.95140106906584,STRAIGHT CRUISE,0.0
0.97,0.9682775702181811,-0.08800309671940322,135.7063403413096,-1.317877059758601,135.71273930171773,STRAIGHT CRUISE,0.0
0.98,0.9816419147802282,-0.08803581930660487,131.9949358616421,0.3653436390272288,131.99544147088406,STRAIGHT CRUISE,0.0
0.99,0.9951818168287959,-0.08808057062355674,137.51523114114923,-0.8874472654157142,137.5180946583125,STRAIGHT CRUISE,0.0
1.0,1.008401207384437,-0.088075745540065,128.40456379865876,0.7259619620803838,128.4066159708845,STRAIGHT CRUISE,0.0
1.01,1.0220867296080616,-0.08807430784464307,139.04598228164576,0.49430892018721556,139.04686091378088,STRAIGHT CRUISE,0.0
1.02,1.035694797694498,-0.08805769735439901,133.73587208108663,0.027997147551402958,133.73587501164016,STRAIGHT CRUISE,0.0
1.03,1.049355002177792,-0.0880295133610581,138.24611542326704,0.30488823623529254,138.24645162339561,STRAIGHT CRUISE,0.0
1.04,1.0628813059573314,-0.08805080135746943,133.34354556626607,-0.5665363893147315,133.34474908170662,STRAIGHT CRUISE,0.0
1.05,1.0760560028141934,-0.08807793075432777,129.96277559005415,-0.20791133834842673,129.9629418957396,STRAIGHT CRUISE,0.0
1.06,1.0894933347884819,-0.08811593224025561,136.6214142879758,-0.46638702200728155,136.62221034261236,STRAIGHT CRUISE,0.0
1.07,1.1029144562591207,-0.08810215640697681,130.03034786585778,0.3568586385752596,130.03083755095906,STRAIGHT CRUISE,0.0
1.08,1.116588425288675,-0.08813005035171237,138.28813870982714,0.4232737141380153,138.28878648851276,STRAIGHT CRUISE,0.0
1.09,1.1302742618606338,-0.08815731011783785,138.22640820282393,0.09982512698719567,138.2264442489558,STRAIGHT CRUISE,0.0
1.1,1.1439706863699608,-0.08818410330472637,135.066071301546,-0.6477973676724967,135.06762475983604,STRAIGHT CRUISE,0.0
1.11,1.1578116141874346,-0.0882426306227307,140.4648730076867,-0.6403603779859056,140.46633265832506,STRAIGHT CRUISE,0.0
1.12,1.1716175023991633,-0.08827522971782407,135.8819676362912,-0.1611584643977088,135.8820632046803,STRAIGHT CRUISE,0.0
1.1300000000000001,1.1854977710013028,-0.0882539781733263,140.46428714868065,0.398136723614944,140.4648513936412,STRAIGHT CRUISE,0.0
1.1400000000000001,1.1988581026376643,-0.08816371891424428,130.86423047389297,2.4159157583106703,130.88652897252427,STRAIGHT CRUISE,0.0
1.1500000000000001,1.212590105387681,-0.08803431296718013,140.89343076099158,0.5481008390095417,140.89449686248236,STRAIGHT CRUISE,0.0
1.16,1.226349361297916,-0.08795258820037821,135.71820406148686,0.7639829705953235,135.7203543454509,STRAIGHT CRUISE,0.0
1.17,1.240228938244223,-0.08786116451351657,138.60346479306443,1.0353613602341254,138.6073317894422,STRAIGHT CRUISE,0.0
1.18,1.2538379353105553,-0.08776827038808614,134.33998201238222,0.8721264505761323,134.3428128767333,STRAIGHT CRUISE,0.0
1.19,1.2676473304965312,-0.08758315706472652,140.41744450574686,2.5401950683655907,140.44041908407226,STRAIGHT CRUISE,0.0
1.2,1.281472910391803,-0.08734273581175768,136.48378247364244,2.240636022092673,136.50217334568723,STRAIGHT CRUISE,0.0
1.21,1.2952200955803117,-0.08699214119393439,137.6450357555296,4.209729831857861,137.70939580652532,STRAIGHT CRUISE,0.0
1.22,1.3091133434879516,-0.08668860678605629,139.55756379402283,2.061454274641332,139.57278819973894,STRAIGHT CRUISE,0.0
1.23,1.3232506381205615,-0.08640635763891873,139.24572902267806,2.8150763806001806,139.27418176419383,STRAIGHT CRUISE,0.0
1.24,1.3371471377321493,-0.08633369200563572,138.6466051757504,-0.4197523348467104,138.64724057399422,STRAIGHT CRUISE,0.0
1.25,1.3511682442313981,-0.08622906033037121,142.11792784806298,1.5463762928914033,142.1263406109735,STRAIGHT CRUISE,0.0
1.26,1.3650693697852216,-0.08615901708139058,136.7987188275475,0.23352087237914382,136.79891814212655,STRAIGHT CRUISE,0.0
1.27,1.379051715532356,-0.08603783859423861,141.4633127233673,1.8826347539749586,141.4758394931307,STRAIGHT CRUISE,0.0
1.28,1.3927268580409697,-0.08589960006946083,133.23169966174618,1.0473776446272554,133.23581648598923,STRAIGHT CRUISE,0.0
1.29,1.4067035211857535,-0.08575720589316335,143.53571933760955,1.782070356123391,143.5467815749249,STRAIGHT CRUISE,0.0
1.3,1.420694365890434,-0.08561827117852146,137.64130392060093,1.2214745948727461,137.64672369929173,STRAIGHT CRUISE,0.0
1.31,1.4347365440419222,-0.08559752414089045,142.2944374691053,-0.336148917243015,142.29483451883868,STRAIGHT CRUISE,0.0
1.32,1.4486960990783988,-0.08565475678954537,137.6363269171897,-0.6947895306025827,137.63808055820655,STRAIGHT CRUISE,0.0
1.33,1.4625334368376475,-0.08582359820940633,138.73758515483792,-2.3693479881214183,138.75781543568894,STRAIGHT CRUISE,0.0
1.34,1.4764140582822507,-0.08588330998857374,140.00272337638359,0.35348068783595743,140.00316961198004,STRAIGHT CRUISE,0.0
1.35,1.4904959020199844,-0.08603553913118457,140.78589088170037,-2.6220576826068527,140.81030593619545,STRAIGHT CRUISE,0.0
1.36,1.5046722023772805,-0.08617757022629484,141.56262325676036,-0.4196794018469986,141.56324535039386,STRAIGHT CRUISE,0.0
1.37,1.5189054561220328,-0.0863655615720912,144.8502201000932,-2.1505965196330323,144.86618421300292,STRAIGHT CRUISE,0.0
1.3800000000000001,1.5333181702223175,-0.0865494810055959,143.67111558254305,-1.7199236918868943,143.68141003706205,STRAIGHT CRUISE,0.0
1.3900000000000001,1.5473762810918037,-0.08672374953948542,138.48272240160694,-1.8274230256805344,138.49477924700017,STRAIGHT CRUISE,0.0
1.4000000000000001,1.5613261238522778,-0.08680703744871787,139.86077781351085,0.01151961318990799,139.8607782879165,STRAIGHT CRUISE,0.0
1.41,1.5753394839826302,-0.08698329009640635,140.1104039947564,-2.9235876085367427,140.1409029230176,STRAIGHT CRUISE,0.0
1.42,1.589385504267518,-0.0871751383626824,140.52827483820684,-1.2138811601978106,140.5335174841706,STRAIGHT CRUISE,0.0
1.43,1.6035746296501843,-0.08747090739821166,141.09580142537078,-3.5584794697050226,141.14066726498064,STRAIGHT CRUISE,0.0
1.44,1.6178177786359014,-0.0878352646624853,142.88793635827594,-3.6676025279470963,142.93499804117155,STRAIGHT CRUISE,0.0
1.45,1.6322358353877937,-0.08804935240298128,146.32949951895657,-1.0211655320509125,146.33306259527325,STRAIGHT CRUISE,0.0
1.46,1.6464084712779394,-0.08816325968103539,137.81686192433813,-1.27565771603884,137.82276565676867,STRAIGHT CRUISE,0.0
1.47,1.6609335935948486,-0.08821247108949583,146.84202126516996,-1.146404410322441,146.84649622075642,STRAIGHT CRUISE,0.0
1.48,1.6752778347574049,-0.08825329885473114,141.09881000862487,0.10033557238642177,141.09884568300728,STRAIGHT CRUISE,0.0
1.49,1.6896520708439684,-0.08833435368631352,145.269313794983,-1.3861047942952867,145.27592648806618,STRAIGHT CRUISE,0.0
1.5,1.7039013736694584,-0.0883858996536164,140.68727141007346,0.13969410743343483,140.68734076403365,OPEN-LOOP ROTATING HEADING,-2.220446049250313e-16
1.51,1.7179297735418768,-0.08860547407762039,136.56717493579865,-3.130113291533143,136.6030412515141,OPEN-LOOP ROTATING HEADING,-0.0001703706265647753
1.52,1.7322822365301693,-0.0886385685562768,145.17346779483285,-0.1673348514579425,145.17356423443587,OPEN-LOOP ROTATING HEADING,-5.1285255631805526e-05
1.53,1.746498056881798,-0.08863541016792761,140.10790211994313,0.1628700217961587,140.10799678496429,OPEN-LOOP ROTATING HEADING,0.00020411398910580303
