time_s,phase,core_height_cm,vertical_speed_cm_s,ground_contact,x_cm,vx_cm_s
1.169999999999999929e+00,3.000000000000000000e+00,5.993388114962095159e+01,-1.275158680002694354e+02,0.000000000000000000e+00,2.585006374362431458e+01,5.565457723242545995e+01
1.179999999999999938e+00,3.000000000000000000e+00,5.861568326345891933e+01,-1.347047608132492655e+02,0.000000000000000000e+00,2.642319734115216434e+01,5.844038086308774638e+01
1.189999999999999947e+00,3.000000000000000000e+00,5.719418545001710186e+01,-1.470970556767273081e+02,0.000000000000000000e+00,2.699069019761042298e+01,5.560101521357223930e+01
1.199999999999999956e+00,3.000000000000000000e+00,5.567969860250669001e+01,-1.543661975802079951e+02,0.000000000000000000e+00,2.756391809836507178e+01,5.849122391904401042e+01
1.209999999999999964e+00,3.000000000000000000e+00,5.406207540155477886e+01,-1.666762746421115082e+02,0.000000000000000000e+00,2.813129857398617872e+01,5.554898246843421816e+01
1.219999999999999973e+00,3.000000000000000000e+00,5.235129733077697267e+01,-1.740293020918020375e+02,0.000000000000000000e+00,2.870461833884526115e+01,5.854061669977540561e+01
1.229999999999999982e+00,3.000000000000000000e+00,5.053755343595718585e+01,-1.862536204482809694e+02,0.000000000000000000e+00,2.927188989558747778e+01,5.549851798963815241e+01
1.239999999999999991e+00,3.000000000000000000e+00,4.863048161374661049e+01,-1.936940544017722630e+02,0.000000000000000000e+00,2.984529876787302527e+01,5.858848090144002185e+01
1.250000000000000000e+00,3.000000000000000000e+00,4.662062130652122960e+01,-2.058291761133419868e+02,0.000000000000000000e+00,3.041246482071805346e+01,5.544966529067373529e+01
1.260000000000000009e+00,3.000000000000000000e+00,4.451725307181553148e+01,-2.133604206370909253e+02,0.000000000000000000e+00,3.098595978579069410e+01,5.863474525750170585e+01
1.270000000000000018e+00,3.000000000000000000e+00,4.231128032211026380e+01,-2.254030170671660187e+02,0.000000000000000000e+00,3.155302374404290688e+01,5.540247008833727449e+01
1.280000000000000027e+00,3.000000000000000000e+00,4.001161297025008423e+01,-2.330283570813581377e+02,0.000000000000000000e+00,3.212660157165879582e+01,5.867934415340448595e+01
1.290000000000000036e+00,3.000000000000000000e+00,3.760953150204518636e+01,-2.449752142982895577e+02,0.000000000000000000e+00,3.269356686813085844e+01,5.535697917829057957e+01
1.300000000000000044e+00,3.000000000000000000e+00,3.511356234537250032e+01,-2.526978128802337835e+02,0.000000000000000000e+00,3.326722414607829137e+01,5.872221689965850544e+01
1.310000000000000053e+00,3.000000000000000000e+00,3.251537567915605820e+01,-2.645458364204052941e+02,0.000000000000000000e+00,3.383409425888706323e+01,5.531323968060151941e+01
1.320000000000000062e+00,3.000000000000000000e+00,2.982310208834954679e+01,-2.723687318852550447e+02,0.000000000000000000e+00,3.440782742040774167e+01,5.876330719119666668e+01
1.330000000000000071e+00,4.000000000000000000e+00,2.719695395575888952e+01,-2.713896481651407839e+02,0.000000000000000000e+00,3.496640999181936138e+01,5.486226800031286643e+01
1.340000000000000080e+00,4.000000000000000000e+00,2.441549148719884954e+01,-2.827425455333161040e+02,0.000000000000000000e+00,3.553972620870843002e+01,5.897029312716453120e+01
1.350000000000000089e+00,4.000000000000000000e+00,2.150267581488269997e+01,-2.972639735974597102e+02,0.000000000000000000e+00,3.609689008872620519e+01,5.510866899358969562e+01
1.360000000000000098e+00,4.000000000000000000e+00,1.852284598994452480e+01,-2.920999630056203955e+02,1.000000000000000000e+00,3.666785942454195180e+01,5.786852275845183158e+01
1.370000000000000107e+00,5.000000000000000000e+00,1.594351109174895953e+01,-2.132705580015598628e+02,1.000000000000000000e+00,3.708286901394938440e+01,2.797523659036491495e+01
1.380000000000000115e+00,5.000000000000000000e+00,1.446394641003060855e+01,-9.062077612170698160e+01,1.000000000000000000e+00,3.751967577742254889e+01,3.953208152810783815e+01
1.390000000000000124e+00,5.000000000000000000e+00,1.451856273757109150e+01,6.037086859186788956e+01,1.000000000000000000e+00,3.753536753847292573e+01,-1.748074023341095184e+01
1.400000000000000133e+00,5.000000000000000000e+00,1.568148621321214264e+01,1.374061368554598914e+02,1.000000000000000000e+00,3.751752148190697511e+01,6.008710238319206809e+00
1.410000000000000142e+00,5.000000000000000000e+00,1.704325273620434800e+01,1.359980728934735339e+02,1.000000000000000000e+00,3.741359021440703714e+01,-1.595375484401776944e+01
1.419999999999999929e+00,5.000000000000000000e+00,1.831304540310571483e+01,1.208069366788753598e+02,0.000000000000000000e+00,3.734568891974178229e+01,-6.126685374053086885e-01
1.429999999999999938e+00,5.000000000000000000e+00,1.950501023674019407e+01,1.180077709958905672e+02,0.000000000000000000e+00,3.724335637567540402e+01,-1.667125535681957516e+01
1.439999999999999947e+00,5.000000000000000000e+00,2.059178714598423099e+01,1.025886785816658460e+02,0.000000000000000000e+00,3.715464532212469351e+01,-4.652791380069115412e+00
