time_s,phase,core_height_cm,vertical_speed_cm_s,ground_contact,x_cm,vx_cm_s
2.299999999999999822e+00,3.000000000000000000e+00,6.331857606624284074e+01,1.232339433653244782e+02,0.000000000000000000e+00,2.688988180231195884e+02,1.780114596844451000e+02
2.310000000000000053e+00,3.000000000000000000e+00,6.447831353994246228e+01,1.113372931515446993e+02,0.000000000000000000e+00,2.706432760205719887e+02,1.720445512765394938e+02
2.319999999999999840e+00,3.000000000000000000e+00,6.554223508207726923e+01,1.029064619517150874e+02,0.000000000000000000e+00,2.723934465723968970e+02,1.770681661844752455e+02
2.329999999999999627e+00,3.000000000000000000e+00,6.650491209571941909e+01,9.224332414883186004e+01,0.000000000000000000e+00,2.741243302691610779e+02,1.727639416168310049e+02
2.339999999999999858e+00,3.000000000000000000e+00,6.737163845266577766e+01,8.295420212264741622e+01,0.000000000000000000e+00,2.758510507631748965e+02,1.727808387514108688e+02
2.349999999999999645e+00,3.000000000000000000e+00,6.814091262991438214e+01,7.290684007628343011e+01,0.000000000000000000e+00,2.775787273965451618e+02,1.727371285383089230e+02
2.359999999999999876e+00,3.000000000000000000e+00,6.881357972333556461e+01,6.349754138449434748e+01,0.000000000000000000e+00,2.793073417508792318e+02,1.729538872571222896e+02
2.369999999999999662e+00,3.000000000000000000e+00,6.938800892914900942e+01,5.341051035245109802e+01,0.000000000000000000e+00,2.810359851592489235e+02,1.727901851700447367e+02
2.379999999999999893e+00,3.000000000000000000e+00,6.986527968652734444e+01,4.392882209590469955e+01,0.000000000000000000e+00,2.827653504652416245e+02,1.730452978819488408e+02
2.389999999999999680e+00,3.000000000000000000e+00,7.024408025286071222e+01,3.385534811408687261e+01,0.000000000000000000e+00,2.844944366684031252e+02,1.728053595319692590e+02
2.399999999999999911e+00,3.000000000000000000e+00,7.052544591840215560e+01,2.431324366229523193e+01,0.000000000000000000e+00,2.862242452629797071e+02,1.731084676801068554e+02
2.409999999999999698e+00,3.000000000000000000e+00,7.070831701519870194e+01,1.428021265789988981e+01,0.000000000000000000e+00,2.879535774617234551e+02,1.728061866931174677e+02
2.419999999999999929e+00,3.000000000000000000e+00,7.079357627246515960e+01,4.677954160831387043e+00,0.000000000000000000e+00,2.896836677512829965e+02,1.731526404988436241e+02
2.429999999999999716e+00,3.000000000000000000e+00,7.078040991745065469e+01,-5.300905352301861662e+00,0.000000000000000000e+00,2.914131456503793629e+02,1.728035035608296823e+02
2.439999999999999947e+00,3.000000000000000000e+00,7.066948342603511435e+01,-1.496684796040860199e+01,0.000000000000000000e+00,2.931434343236935547e+02,1.731854861424385490e+02
2.449999999999999734e+00,3.000000000000000000e+00,7.046023773582123795e+01,-2.488301083168768812e+01,0.000000000000000000e+00,2.948730244548165729e+02,1.728026697884407668e+02
2.459999999999999964e+00,3.000000000000000000e+00,7.015308424353612793e+01,-3.461756040493032316e+01,0.000000000000000000e+00,2.966034721863608752e+02,1.732102375804124392e+02
2.469999999999999751e+00,3.000000000000000000e+00,6.974773578241459404e+01,-4.446553577918751898e+01,0.000000000000000000e+00,2.983331689787422079e+02,1.728064316691585987e+02
2.479999999999999982e+00,3.000000000000000000e+00,6.924432735178957898e+01,-5.427224712400084883e+01,0.000000000000000000e+00,3.000637525520543818e+02,1.732278724264104142e+02
2.489999999999999769e+00,3.000000000000000000e+00,6.864285678192814544e+01,-6.404909090657145043e+01,0.000000000000000000e+00,3.017935614299160534e+02,1.728159246557760582e+02
2.500000000000000000e+00,3.000000000000000000e+00,6.794317104147680197e+01,-7.392952973339930622e+01,0.000000000000000000e+00,3.035242628028423724e+02,1.732385935329683377e+02
2.509999999999999787e+00,3.000000000000000000e+00,6.714555863331351304e+01,-8.363466495250307275e+01,0.000000000000000000e+00,3.052541920667433715e+02,1.728314268936033216e+02
2.520000000000000018e+00,3.000000000000000000e+00,6.624957664913542033e+01,-9.358816328422558684e+01,0.000000000000000000e+00,3.069849935228115214e+02,1.732423608439595171e+02
2.529999999999999805e+00,3.000000000000000000e+00,6.525580123607824135e+01,-1.032233233892635269e+02,0.000000000000000000e+00,3.087150504421094865e+02,1.728527181626140816e+02
2.540000000000000036e+00,3.000000000000000000e+00,6.416350718517965390e+01,-1.132469244802023667e+02,0.000000000000000000e+00,3.104459327040233347e+02,1.732391472369588996e+02
2.549999999999999822e+00,3.000000000000000000e+00,6.297354631006057701e+01,-1.228160805912517048e+02,0.000000000000000000e+00,3.121761216506981214e+02,1.728792563040248069e+02
2.560000000000000053e+00,3.000000000000000000e+00,6.168492775884644175e+01,-1.329045936394753085e+02,0.000000000000000000e+00,3.139070634083172990e+02,1.732290568444597625e+02
2.569999999999999840e+00,3.000000000000000000e+00,6.029875828632317081e+01,-1.424138332654216015e+02,0.000000000000000000e+00,3.156373850057514119e+02,1.729102718631282301e+02
2.579999999999999627e+00,3.000000000000000000e+00,5.881380660861509568e+01,-1.525599743300032003e+02,0.000000000000000000e+00,3.173683631420754523e+02,1.732123769807201370e+02
2.589999999999999858e+00,3.000000000000000000e+00,5.723140549531682097e+01,-1.620173213607519926e+02,0.000000000000000000e+00,3.190988139584577539e+02,1.729448275018235961e+02
2.599999999999999645e+00,3.000000000000000000e+00,5.555011623267771625e+01,-1.722119276192264579e+02,0.000000000000000000e+00,3.208298041252157304e+02,1.731895949553670562e+02
2.609999999999999876e+00,3.000000000000000000e+00,5.377146131628730785e+01,-1.816271030808466094e+02,0.000000000000000000e+00,3.225603766854894729e+02,1.729818625411357402e+02
2.619999999999999662e+00,3.000000000000000000e+00,5.189383439972679923e+01,-1.918594102033912066e+02,0.000000000000000000e+00,3.242913540458134776e+02,1.731613943096422474e+02
2.629999999999999893e+00,3.000000000000000000e+00,4.991890514397612577e+01,-2.012435383376904099e+02,0.000000000000000000e+00,3.260220370481125087e+02,1.730202317802887251e+02
2.639999999999999680e+00,3.000000000000000000e+00,4.784494495128065239e+01,-2.115015109333446333e+02,0.000000000000000000e+00,3.277529770839813636e+02,1.731286379708282652e+02
2.649999999999999911e+00,3.000000000000000000e+00,4.567372311804236062e+01,-2.208667784893760029e+02,0.000000000000000000e+00,3.294837557610258045e+02,1.730587427091253687e+02
2.659999999999999698e+00,3.000000000000000000e+00,4.340343836637554631e+01,-2.311374829454236703e+02,0.000000000000000000e+00,3.312146350846534801e+02,1.730923426197398101e+02
2.669999999999999929e+00,3.000000000000000000e+00,4.103590859948064917e+01,-2.404967618847851156e+02,0.000000000000000000e+00,3.329454916771401827e+02,1.730961926607002113e+02
2.679999999999999716e+00,3.000000000000000000e+00,3.856931208334594885e+01,-2.507667700100715251e+02,0.000000000000000000e+00,3.346762888071055499e+02,1.730536469257721137e+02
2.689999999999999947e+00,3.000000000000000000e+00,3.600546239277814209e+01,-2.601332153782714158e+02,0.000000000000000000e+00,3.364072031275050563e+02,1.731314060069360892e+02
2.699999999999999734e+00,3.000000000000000000e+00,3.334257058151546005e+01,-2.703890263679271015e+02,0.000000000000000000e+00,3.381378992012320737e+02,1.730137754414452615e+02
2.709999999999999964e+00,3.000000000000000000e+00,3.058239271773684465e+01,-2.797756620295205607e+02,0.000000000000000000e+00,3.398688492696004460e+02,1.731632707175745338e+02
2.719999999999999751e+00,4.000000000000000000e+00,2.802726212222054158e+01,-2.519570264590198576e+02,0.000000000000000000e+00,3.418227347423379570e+02,2.162413444870960006e+02
2.729999999999999982e+00,4.000000000000000000e+00,2.519801698917938992e+01,-2.908010485573772144e+02,0.000000000000000000e+00,3.436347304393570994e+02,1.795241447716059326e+02
2.739999999999999769e+00,4.000000000000000000e+00,2.220631550394557507e+01,-3.044485199151617962e+02,0.000000000000000000e+00,3.453890399915010789e+02,1.736080536534768157e+02
2.750000000000000000e+00,4.000000000000000000e+00,1.916183414580452649e+01,-2.966341237948342950e+02,1.000000000000000000e+00,3.471058154208868700e+02,1.703539987856474909e+02
