time_s,forward_cm,sideways_cm,forward_speed_cm_s
8.900000000000006795e-01,8.463731400058202325e+01,-3.291307588592373712e-01,1.192373132035952352e+02
9.000000000000005773e-01,8.586334554137306441e+01,-3.460676093011837429e-01,1.244128833471751960e+02
9.100000000000005862e-01,8.706871538406149114e+01,-3.593288872439064363e-01,1.193313622562491645e+02
9.200000000000005951e-01,8.829891846434823321e+01,-3.734068789684304446e-01,1.248491821881822403e+02
9.300000000000006040e-01,8.952400333643444696e+01,-3.857362380535833690e-01,1.234074400529880933e+02
9.400000000000006128e-01,9.075567641303391042e+01,-4.015408661117208511e-01,1.226215931118042022e+02
9.500000000000006217e-01,9.197892154445258939e+01,-4.166108652544301405e-01,1.220830621138197785e+02
9.600000000000006306e-01,9.319938270387346790e+01,-4.347301798191181010e-01,1.220445769047163083e+02
9.700000000000006395e-01,9.439863574981318095e+01,-4.596507967782466619e-01,1.180662702559966135e+02
9.800000000000006484e-01,9.560768110086092975e+01,-4.839278089304019925e-01,1.226475712513978067e+02
9.900000000000006573e-01,9.681149678272552705e+01,-5.099103345805757748e-01,1.214959120888328528e+02
1.000000000000000666e+00,9.802728474662885105e+01,-5.316516915069748883e-01,1.214326427118489704e+02
1.010000000000000675e+00,9.924326551108211447e+01,-5.474966416233386646e-01,1.216594592258800134e+02
1.020000000000000684e+00,1.004221220710436882e+02,-5.630809703011913081e-01,1.145637558910260765e+02
1.030000000000000693e+00,1.016417841632399899e+02,-5.661956480437594363e-01,1.262238865791971705e+02
1.040000000000000702e+00,1.028655825938264741e+02,-5.707010819673432600e-01,1.233904592272970575e+02
1.050000000000000711e+00,1.040956950348236347e+02,-5.793692535626081552e-01,1.223339347862055178e+02
1.060000000000000719e+00,1.053161422735206401e+02,-5.915705777437173518e-01,1.216899164393572477e+02
1.070000000000000728e+00,1.065339977060481402e+02,-6.089563858143989261e-01,1.217943859774482291e+02
1.080000000000000737e+00,1.077451090839104211e+02,-6.289000242584344980e-01,1.209706869182340512e+02
1.090000000000000746e+00,1.089322392607916328e+02,-6.525948078797155771e-01,1.167513901083511882e+02
1.100000000000000755e+00,1.101378843380283854e+02,-6.712964513675796496e-01,1.225129774527935638e+02
1.110000000000000764e+00,1.113136233618041473e+02,-7.025680052810059362e-01,1.141616050543013472e+02
1.120000000000000773e+00,1.125457526657738470e+02,-7.103436727241378978e-01,1.232957660390336230e+02
1.130000000000000782e+00,1.137735688969434165e+02,-7.226269200595559772e-01,1.225131823433894596e+02
1.140000000000000790e+00,1.149755065893020429e+02,-7.358339141189196297e-01,1.182951306642713689e+02
1.150000000000000799e+00,1.161936376327573157e+02,-7.584397169175229880e-01,1.237865853638200093e+02
1.160000000000000808e+00,1.174198773571459640e+02,-7.803009293701060889e-01,1.233359797800237061e+02
1.170000000000000817e+00,1.186284118625566180e+02,-8.030773049844890377e-01,1.188083938387019174e+02
1.180000000000000826e+00,1.198464655704371040e+02,-8.158232968261464046e-01,1.233684545090694371e+02
1.190000000000000835e+00,1.210535970187916206e+02,-8.280373699422515221e-01,1.217554420033828393e+02
1.200000000000000844e+00,1.222693186053440400e+02,-8.357076147158224444e-01,1.211731111026283543e+02
1.210000000000000853e+00,1.234767882326947728e+02,-8.491980318315273113e-01,1.205650514522799313e+02
1.220000000000000862e+00,1.246616248604642436e+02,-8.664414543515278622e-01,1.169083946215831986e+02
1.230000000000000870e+00,1.258736041511142787e+02,-8.828273622445157454e-01,1.234124763936194142e+02
1.240000000000000879e+00,1.270795921930583745e+02,-8.993129165798410263e-01,1.186455823310786428e+02
1.250000000000000888e+00,1.282994694223223178e+02,-9.295423438400627347e-01,1.232232847956317130e+02
1.260000000000000897e+00,1.295197652317823156e+02,-9.515440245067918745e-01,1.230507068616431070e+02
1.270000000000000906e+00,1.307505731117410619e+02,-9.894886689721983375e-01,1.225369275386653243e+02
1.280000000000000915e+00,1.319683912349365187e+02,-1.035825549032696413e+00,1.213321477233963321e+02
1.290000000000000924e+00,1.331543150358069170e+02,-1.091521492274995841e+00,1.166557773509976812e+02
1.300000000000000933e+00,1.343559866402642058e+02,-1.145108136703059776e+00,1.222037013166331008e+02
1.310000000000000941e+00,1.355443117783944444e+02,-1.200583786139200360e+00,1.168835752268015540e+02
1.320000000000000950e+00,1.367468949039300412e+02,-1.244277558571981190e+00,1.221023847518448662e+02
1.330000000000000959e+00,1.379596129303911312e+02,-1.279277888226324489e+00,1.210533312949548161e+02
1.340000000000000968e+00,1.391462918415539036e+02,-1.302850057710913223e+00,1.166451422220474115e+02
1.350000000000000977e+00,1.403419668190418577e+02,-1.337386496015227078e+00,1.222800143493185487e+02
1.360000000000000986e+00,1.415482266207558268e+02,-1.364675474925150622e+00,1.200901156657014468e+02
1.370000000000000995e+00,1.427425630297294390e+02,-1.390159452762018466e+00,1.189793200664452684e+02
1.380000000000001004e+00,1.439312605432887437e+02,-1.413619939168748507e+00,1.187357443400778294e+02
1.390000000000001013e+00,1.451005355212630832e+02,-1.441052905909661286e+00,1.153820352167260808e+02
1.400000000000001021e+00,1.462974307001536545e+02,-1.461032902192916261e+00,1.218543348779793689e+02
1.410000000000001030e+00,1.474869443350560800e+02,-1.490813255695691453e+00,1.172009316345752552e+02
1.420000000000001039e+00,1.486756863554129779e+02,-1.504532067295684117e+00,1.175573019835872657e+02
1.430000000000001048e+00,1.498972501407219795e+02,-1.528381356478988318e+00,1.217650819404710489e+02
1.440000000000001057e+00,1.511107883074150209e+02,-1.548041869184833663e+00,1.211885082472149406e+02
1.450000000000001066e+00,1.523254950488390307e+02,-1.563049423974689489e+00,1.216339730242884229e+02
