step,time_s,ball_x,ball_y,radius_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
1640,16.4,-0.0135,-1.4277,1.4278,0.5722,1.0486,0.696,turn,boundary_turn_inward,1
1650,16.5,0.0686,-1.4921,1.4937,0.5063,1.0418,0.637,turn,boundary_turn_inward,1
1660,16.6,0.1558,-1.5488,1.5566,0.4434,1.0332,0.6183,turn,boundary_turn_inward,1
1670,16.7,0.2462,-1.5977,1.6166,0.3834,1.0157,0.5986,turn,boundary_turn_inward,1
1680,16.8,0.337,-1.6422,1.6764,0.3236,1.0048,0.5913,turn,boundary_turn_inward,1
1690,16.9,0.422,-1.6796,1.7318,0.2682,0.4937,0.2955,stop,boundary_emergency_brake,1
1700,17.0,0.4615,-1.6928,1.7546,0.2454,0.4226,0.2276,stop,boundary_emergency_brake,1
1710,17.1,0.5018,-1.7051,1.7774,0.2226,0.4186,0.2292,stop,boundary_emergency_brake,1
1720,17.2,0.5421,-1.7177,1.8012,0.1988,0.3953,0.2374,stop,boundary_emergency_brake,1
1730,17.3,0.5445,-1.7139,1.7983,0.2017,0.1741,-0.1489,curve,roam_curve_right,0
1740,17.4,0.5278,-1.7017,1.7816,0.2184,0.3134,-0.2397,curve,roam_curve_right,0
1750,17.5,0.4989,-1.6831,1.7554,0.2446,0.3979,-0.3006,curve,roam_curve_right,0
1760,17.6,0.4594,-1.6559,1.7185,0.2815,0.5048,-0.3934,curve,roam_curve_right,0
1770,17.7,0.4148,-1.6249,1.677,0.323,0.6028,-0.4532,curve,roam_curve_right,0
1780,17.8,0.3639,-1.5889,1.6301,0.3699,0.6418,-0.4704,curve,roam_curve_right,0
1790,17.9,0.3093,-1.5511,1.5817,0.4183,0.6844,-0.5018,curve,roam_curve_right,0
1800,18.0,0.2522,-1.5101,1.531,0.469,0.7362,-0.5165,curve,roam_curve_right,0
1810,18.1,0.2217,-1.4718,1.4884,0.5116,0.4902,-0.4335,move,roam_forward_cruise,0
1820,18.2,0.1942,-1.4327,1.4458,0.5542,0.3961,-0.3836,move,roam_forward_cruise,0
1830,18.3,0.2273,-1.3973,1.4156,0.5844,0.687,-0.269,move,roam_forward_cruise,0
1840,18.4,0.2901,-1.3605,1.391,0.609,0.8221,-0.2296,move,roam_forward_cruise,0
1850,18.5,0.3646,-1.3219,1.3713,0.6287,0.8251,-0.1532,move,roam_forward_cruise,0
1860,18.6,0.4398,-1.2868,1.3598,0.6402,0.833,-0.0724,move,roam_forward_cruise,0
1870,18.7,0.5147,-1.2509,1.3527,0.6473,0.8103,-0.2471,move,roam_forward_cruise,0
1880,18.8,0.5895,-1.22,1.355,0.645,0.7378,-0.1124,move,roam_forward_cruise,0
1890,18.9,0.6618,-1.1842,1.3565,0.6435,0.5786,-0.225,move,roam_forward_cruise,0
1900,19.0,0.7227,-1.1493,1.3577,0.6423,0.8041,-0.0413,turn,boundary_turn_inward,1
1910,19.1,0.8004,-1.0939,1.3554,0.6446,0.9362,-0.1254,curve,roam_curve_left,0
1920,19.2,0.8754,-1.0367,1.3569,0.6431,0.836,-0.0659,turn,boundary_turn_inward,1
1930,19.3,0.9428,-0.9779,1.3584,0.6416,0.9156,-0.0847,curve,roam_curve_left,0
1940,19.4,1.007,-0.9172,1.3621,0.6379,0.9361,-0.0768,curve,roam_curve_left,0
1950,19.5,1.0664,-0.8567,1.3679,0.6321,0.8262,-0.0432,turn,boundary_turn_inward,1
1960,19.6,1.1176,-0.7914,1.3695,0.6305,0.7861,-0.0645,curve,roam_curve_left,0
1970,19.7,1.1625,-0.7272,1.3712,0.6288,0.7237,-0.0641,curve,roam_curve_left,0
1980,19.8,1.1984,-0.6616,1.3689,0.6311,0.7312,-0.2514,turn,roam_pivot_turn,0
1990,19.9,1.2307,-0.5967,1.3677,0.6323,0.5936,-0.1171,turn,roam_pivot_turn,0
2000,20.0,1.2648,-0.5396,1.3751,0.6249,0.42,-0.143,turn,roam_pivot_turn,0
2010,20.1,1.2953,-0.4863,1.3836,0.6164,0.4993,-0.157,turn,roam_pivot_turn,0
2020,20.2,1.3275,-0.4317,1.3959,0.6041,0.7554,0.115,turn,boundary_turn_inward,1
2030,20.3,1.3523,-0.3634,1.4003,0.5997,0.7891,-0.0472,turn,boundary_turn_inward,1
2040,20.4,1.3597,-0.2874,1.3897,0.6103,0.9345,-0.2559,stop,roam_stance_pause,0
2050,20.5,1.3551,-0.2138,1.3719,0.6281,0.7861,-0.3577,stop,roam_stance_pause,0
2060,20.6,1.3446,-0.1554,1.3536,0.6464,0.5843,-0.2163,curve,roam_curve_right,0
2070,20.7,1.3356,-0.1055,1.3398,0.6602,0.544,-0.1682,curve,roam_curve_right,0
2080,20.8,1.3277,-0.0523,1.3287,0.6713,0.6211,-0.1739,curve,roam_curve_right,0
2090,20.9,1.3168,0.0108,1.3169,0.6831,0.6712,-0.1456,curve,roam_curve_right,0
2100,21.0,1.3058,0.0833,1.3085,0.6915,0.8076,-0.1249,curve,roam_curve_right,0
2110,21.1,1.2931,0.1599,1.3029,0.6971,0.7763,-0.087,curve,roam_curve_right,0
2120,21.2,1.2818,0.2401,1.3041,0.6959,0.8238,0.0087,curve,roam_curve_right,0
2130,21.3,1.2718,0.3213,1.3117,0.6883,0.8099,0.0657,curve,roam_curve_right,0
2140,21.4,1.2625,0.405,1.3259,0.6741,0.8328,0.1257,curve,roam_curve_right,0
2150,21.5,1.2542,0.4901,1.3466,0.6534,0.8412,0.1863,curve,roam_curve_right,0
2160,21.6,1.243,0.5728,1.3687,0.6313,0.8371,0.162,turn,boundary_turn_inward,1
2170,21.7,1.2164,0.6547,1.3814,0.6186,0.863,-0.0425,turn,boundary_turn_inward,1
2180,21.8,1.1724,0.7302,1.3811,0.6189,0.8974,-0.2215,move,roam_forward_cruise,0
2190,21.9,1.1291,0.8019,1.3849,0.6151,0.7724,-0.2463,move,roam_forward_cruise,0
2200,22.0,1.0854,0.8742,1.3937,0.6063,0.763,-0.2103,move,roam_forward_cruise,0
2210,22.1,1.0385,0.9418,1.4019,0.5981,0.8302,-0.1592,move,roam_forward_cruise,0
2220,22.2,0.9921,1.0082,1.4145,0.5855,0.7605,-0.1216,move,roam_forward_cruise,0
2230,22.3,0.9481,1.0692,1.429,0.571,0.7536,-0.1147,move,roam_forward_cruise,0
2240,22.4,0.9027,1.1381,1.4526,0.5474,0.8261,0.1678,turn,boundary_turn_inward,1
2250,22.5,0.852,1.2035,1.4746,0.5254,0.849,0.0823,turn,boundary_turn_inward,1
