time_s,phase,heading_x,heading_y,x_cm,y_cm,vx_cm_s,vy_cm_s
6.879999999999999893e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.700503076367501194e+02,-3.323559616394638851e+02,-1.567348228730270421e+01,-1.220224063028016133e+02
6.890000000000000568e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.698952815855360541e+02,-3.335737429536069953e+02,-1.547294191924872919e+01,-1.215527716848840498e+02
6.900000000000000355e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.697332279259111942e+02,-3.347696642038007440e+02,-1.677600347403410908e+01,-1.181175708734145502e+02
6.910000000000000142e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.695827375069133609e+02,-3.359874726857337350e+02,-1.433545383456482014e+01,-1.236527685014598035e+02
6.919999999999999929e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.694276164071357016e+02,-3.372059420896839015e+02,-1.499880964921608850e+01,-1.229524259738723657e+02
6.929999999999999716e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.692803777356335218e+02,-3.384389150223507272e+02,-1.475970980613183414e+01,-1.230285237178395192e+02
6.940000000000000391e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.691369038072284638e+02,-3.396432368482350057e+02,-1.414180037014291536e+01,-1.187110955145605828e+02
6.950000000000000178e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.689955900369958499e+02,-3.408681800423398158e+02,-1.421892130254838804e+01,-1.246961367513707017e+02
6.959999999999999964e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.688533838747982827e+02,-3.420976913345334083e+02,-1.406556364950924198e+01,-1.237263497569788484e+02
6.969999999999999751e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.687156111935756826e+02,-3.433319403204941409e+02,-1.358814592888601069e+01,-1.231280605879564689e+02
6.980000000000000426e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.685841706724433493e+02,-3.445608830465968140e+02,-1.301288050449399769e+01,-1.225951454328408943e+02
6.990000000000000213e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.684434587217882040e+02,-3.457614662979337936e+02,-1.480298821032591228e+01,-1.181595024314578239e+02
7.000000000000000000e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.683141225940224786e+02,-3.469798464722202880e+02,-1.214585948735342669e+01,-1.236680482430908370e+02
7.009999999999999787e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.681866806908072931e+02,-3.481986476089904272e+02,-1.214203005177676253e+01,-1.229744231879375036e+02
7.020000000000000462e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.680684453155362235e+02,-3.494308562262185092e+02,-1.174578776229091659e+01,-1.232258600241789708e+02
7.030000000000000249e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.679508037049209292e+02,-3.506600297658618501e+02,-1.180674429440182571e+01,-1.227314226920705806e+02
7.040000000000000036e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.678294958550501406e+02,-3.518617994708184824e+02,-1.242699288533300539e+01,-1.183155064393360192e+02
7.049999999999999822e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.677077127808189516e+02,-3.530808731279541348e+02,-1.216778243359300404e+01,-1.239006223090026282e+02
7.060000000000000497e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.675820912160785952e+02,-3.542945463588055190e+02,-1.284244627846901921e+01,-1.197066592724930274e+02
7.070000000000000284e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.674588761906694003e+02,-3.555375886550963855e+02,-1.235549424460122481e+01,-1.249361464054733517e+02
7.080000000000000071e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.673333997521963852e+02,-3.567798338232544211e+02,-1.264018854519599877e+01,-1.238169636620049374e+02
7.089999999999999858e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.672116792688490818e+02,-3.580133136795869859e+02,-1.206330717072573933e+01,-1.232953663062821477e+02
7.100000000000000533e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.670932798742312571e+02,-3.592466244096154924e+02,-1.164138075012586171e+01,-1.234691890240816576e+02
7.110000000000000320e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.669647675973823198e+02,-3.604584171898080172e+02,-1.366021042394057794e+01,-1.194893984892156453e+02
7.120000000000000107e+00,2.000000000000000000e+00,6.123233995736766036e-17,-1.000000000000000000e+00,4.668559373788447147e+02,-3.616696275522514838e+02,-1.092627442216846845e+01,-1.191833653648689335e+02
