step,time_s,fixed_x_m,fixed_y_m,fixed_core_z_m,fixed_speed_mps,fixed_path_m,fixed_rods_on_rock,fixed_rods_over_pit,fixed_action,active_x_m,active_y_m,active_core_z_m,active_speed_mps,active_path_m,active_rods_on_rock,active_rods_over_pit,active_action
1000,10.0,-0.017,1.1244,0.2055,0.6376,6.967,0,0,roam_curve_right,-1.3278,-1.8407,0.2091,0.7816,8.153,1,0,roam_curve_right
1010,10.1,-0.0197,1.0492,0.1929,0.9327,7.042,0,0,roam_curve_right,-1.385,-1.7659,0.1876,1.043,8.248,0,0,roam_curve_right
1020,10.2,-0.0367,0.9435,0.1909,1.142,7.149,0,0,roam_curve_right,-1.4467,-1.6641,0.1896,1.2197,8.367,2,0,roam_curve_right
1030,10.3,-0.0662,0.827,0.1861,1.2637,7.27,3,0,roam_curve_right,-1.5019,-1.5539,0.1906,1.1244,8.49,3,0,roam_curve_right
1040,10.4,-0.1007,0.7225,0.2109,0.7118,7.38,5,0,roam_curve_right,-1.5111,-1.4439,0.1887,1.1627,8.601,4,0,roam_curve_right
1050,10.5,-0.1318,0.6633,0.2344,0.6061,7.447,6,0,roam_curve_right,-1.5117,-1.3299,0.1905,0.967,8.715,3,1,roam_curve_right
1060,10.6,-0.1681,0.6282,0.2504,0.5052,7.498,7,0,roam_curve_right,-1.5442,-1.2337,0.1861,1.0831,8.817,5,1,roam_curve_right
1070,10.7,-0.2215,0.6091,0.2693,0.6356,7.555,7,0,roam_curve_right,-1.5722,-1.1287,0.1881,1.077,8.925,4,2,roam_curve_right
1080,10.8,-0.2963,0.594,0.2672,0.9225,7.631,8,0,roam_curve_right,-1.5926,-1.0191,0.1887,1.1639,9.037,4,0,roam_curve_right
1090,10.9,-0.3909,0.5809,0.2449,0.9809,7.727,8,0,roam_forward_cruise,-1.6128,-0.9548,0.2236,0.4065,9.106,2,1,roam_forward_cruise
1100,11.0,-0.4888,0.5565,0.2584,1.0429,7.828,8,0,roam_forward_cruise,-1.6362,-0.926,0.234,0.3578,9.143,2,0,roam_forward_cruise
1110,11.1,-0.597,0.5229,0.2543,1.1898,7.941,9,0,roam_forward_cruise,-1.6905,-0.9384,0.2199,0.7791,9.2,2,0,roam_forward_cruise
1120,11.2,-0.7122,0.4752,0.254,1.2988,8.066,5,0,roam_forward_cruise,-1.7402,-0.9843,0.214,0.7225,9.271,4,0,roam_forward_cruise
1130,11.3,-0.8293,0.4181,0.244,1.3417,8.196,3,0,roam_forward_cruise,-1.7571,-1.0605,0.2091,0.7353,9.349,5,0,roam_forward_cruise
1140,11.4,-0.9588,0.3521,0.1897,1.5001,8.341,2,0,roam_forward_cruise,-1.791,-1.1343,0.2036,0.6788,9.43,6,0,roam_forward_cruise
1150,11.5,-0.9995,0.3705,0.221,0.4313,8.387,0,0,roam_forward_cruise,-1.8238,-1.1714,0.2373,0.4639,9.48,5,0,roam_forward_cruise
1160,11.6,-1.0398,0.388,0.2183,0.4652,8.431,0,0,roam_forward_cruise,-1.8551,-1.1953,0.2318,0.3244,9.52,4,0,roam_forward_cruise
1170,11.7,-1.0923,0.3717,0.2277,0.583,8.487,0,0,roam_forward_cruise,-1.8902,-1.1964,0.2272,0.4159,9.555,3,0,roam_forward_cruise
1180,11.8,-1.1521,0.359,0.2062,0.7459,8.549,0,0,roam_curve_left,-1.9536,-1.1912,0.2215,0.7613,9.619,3,0,roam_curve_left
1190,11.9,-1.2418,0.3443,0.1897,1.0339,8.64,1,0,roam_curve_left,-2.0507,-1.1906,0.2058,1.2549,9.716,3,0,roam_curve_left
1200,12.0,-1.3526,0.3152,0.1891,1.1867,8.755,0,0,roam_curve_left,-2.1605,-1.2015,0.2033,0.4638,9.826,2,0,roam_curve_left
1210,12.1,-1.4688,0.2755,0.1869,1.2638,8.878,0,0,roam_curve_left,-2.2048,-1.198,0.2219,0.3547,9.871,2,0,roam_curve_left
1220,12.2,-1.5891,0.2275,0.1842,1.3198,9.007,0,0,roam_curve_left,-2.2167,-1.1771,0.2224,0.3092,9.898,2,0,roam_curve_left
1230,12.3,-1.7124,0.1733,0.1863,1.3643,9.142,0,0,roam_curve_left,-2.2077,-1.1405,0.2163,0.4556,9.936,1,0,roam_curve_left
1240,12.4,-1.8377,0.1149,0.1837,1.3887,9.28,0,0,roam_curve_left,-2.2029,-1.0798,0.214,0.7862,9.997,1,0,roam_curve_left
1250,12.5,-1.9643,0.0554,0.1912,1.3887,9.42,0,3,roam_curve_left,-2.212,-0.9862,0.1936,1.0376,10.091,2,0,roam_curve_left
1260,12.6,-2.0896,-0.003,0.1829,1.3592,9.558,0,8,roam_pivot_turn,-2.2301,-0.8856,0.181,1.0344,10.193,2,0,roam_pivot_turn
1270,12.7,-2.2262,-0.0482,0.1398,1.455,9.702,1,12,roam_pivot_turn,-2.2433,-0.7823,0.1846,1.0545,10.298,1,0,roam_pivot_turn
1280,12.8,-2.3653,-0.0881,0.1658,1.4174,9.847,1,9,roam_pivot_turn,-2.246,-0.6726,0.188,1.114,10.407,1,0,roam_pivot_turn
1290,12.9,-2.4909,-0.1237,0.1822,1.2264,9.978,0,4,roam_pivot_turn,-2.2414,-0.5586,0.182,1.1777,10.522,1,0,roam_pivot_turn
1300,13.0,-2.6094,-0.1549,0.1856,1.2327,10.1,0,0,roam_pivot_turn,-2.2253,-0.4429,0.1883,1.0935,10.638,1,1,roam_pivot_turn
1310,13.1,-2.7273,-0.1819,0.1825,1.1815,10.221,0,0,boundary_turn_inward,-2.2184,-0.3513,0.1982,0.9167,10.73,0,2,roam_stance_pause
1320,13.2,-2.8402,-0.2154,0.1917,1.186,10.339,0,0,boundary_turn_inward,-2.2174,-0.2668,0.1978,0.8392,10.815,0,6,roam_stance_pause
1330,13.3,-2.9496,-0.2615,0.1843,1.2027,10.458,0,0,boundary_turn_inward,-2.2199,-0.1768,0.1898,0.9161,10.905,0,10,roam_stance_pause
