time_s,x_m,y_m,z_m,vx_m_s,deck_clearance_cm
0.84,0.8093642238626321,-0.010313696818487284,0.3885624352447684,1.2660657646396423,-1.1437564755231584
0.85,0.8203094066119382,-0.01439169923708142,0.3808292452632746,0.9288441849654607,-1.9170754736725386
0.86,0.8289148541181363,-0.016956071143936238,0.37496873705702716,0.7971709399659647,-2.503126294297284
0.87,0.8350227062292551,-0.01710863025397309,0.3729939141841168,0.4682927278084199,-2.700608581588318
0.88,0.8385694164094684,-0.013829666452792594,0.3742384427454899,0.2583797499138304,-2.57615572545101
0.89,0.8403868355173536,-0.008117178052270186,0.3782606262322049,0.1335018335953055,-2.1739373767795085
0.9,0.8412621954165969,-0.0010439632319625388,0.3845796986839332,0.05884552438580951,-1.542030131606678
0.91,0.8414437829968087,0.005921705339815727,0.39230138798005704,-0.011721910203034255,-0.7698612019942958
0.92,0.8408197040528991,0.011490978609205792,0.40001039360011154,-0.09746861360369333,0.0010393600111541224
0.93,0.8393547800118515,0.014968790718297733,0.40691852229315895,-0.18083618887778433,0.6918522293158952
0.9400000000000001,0.8370045833088748,0.016276097824166724,0.4126940672174498,-0.2665898383237768,1.2694067217449785
0.9500000000000001,0.8338704904169694,0.015448947302562879,0.41737668031653063,-0.3362178315460758,1.737668031653064
0.96,0.8304701125469862,0.012752742333993972,0.42126496852186596,-0.32867646210032125,2.1264968521865963
0.97,0.8274479566603594,0.009129587647440532,0.42517415232509964,-0.29027133757105095,2.517415232509965
0.98,0.8246999167772459,0.005606732611071836,0.42870752152783614,-0.2613567603539921,2.870752152783615
0.99,0.8221736335613917,0.002330916459906427,0.4319147938114434,-0.24294585460416204,3.191479381144338
1.0,0.8202101230200989,-0.00032767700728508563,0.4346626547096921,-0.16197345109690084,3.4662654709692124
1.01,0.8183172724175324,-0.0031360674239348115,0.4370473471216374,-0.20996630320795823,3.70473471216374
1.02,0.8166609131975063,-0.00597607952521989,0.4386080030143245,-0.13638080716180884,3.8608003014324517
1.03,0.8147758248649273,-0.009122390129675681,0.43935752173063475,-0.18258893814191812,3.9357521730634755
1.04,0.8126812100974493,-0.012023917715666993,0.43912566487238025,-0.22748362194883487,3.9125664872380255
1.05,0.8111664533603333,-0.013990026241843848,0.43790745542117365,-0.1440933607942126,3.790745542117366
1.06,0.80994233167961,-0.01551051724534007,0.4363935997108686,-0.10546098641908956,3.6393599710868614
1.07,0.8092050234473878,-0.016423256821735524,0.43474150585457894,-0.0512317754003961,3.474150585457894
1.08,0.8090639645790964,-0.016625240510706418,0.4331152049362928,0.010755227267188854,3.3115204936292804
1.09,0.8095505190219652,-0.016062761406846263,0.4316095212778782,0.07308623593486571,3.160952127787822
1.1,0.8106269863837346,-0.014725074156884555,0.430234541793862,0.12887610137030978,3.0234541793862006
