step,time_s,ball_x,ball_y,radius_m,core_z_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
1220,12.2,-0.2739,-0.7888,0.835,0.1844,1.165,0.7691,0.7435,curve,roam_curve_left,0
1230,12.3,-0.3137,-0.8453,0.9017,0.1932,1.0983,0.5056,0.4501,curve,roam_curve_left,0
1240,12.4,-0.3552,-0.8678,0.9377,0.1942,1.0623,0.4557,0.3018,curve,roam_curve_left,0
1250,12.5,-0.4046,-0.8838,0.972,0.1848,1.028,0.5755,0.386,curve,roam_curve_left,0
1260,12.6,-0.4619,-0.8982,1.01,0.184,0.99,0.6327,0.3453,turn,roam_pivot_turn,0
1270,12.7,-0.5201,-0.9064,1.045,0.1833,0.955,0.6276,0.3421,turn,roam_pivot_turn,0
1280,12.8,-0.5833,-0.9084,1.0795,0.1843,0.9205,0.6311,0.3626,turn,roam_pivot_turn,0
1290,12.9,-0.6414,-0.9119,1.1149,0.1907,0.8851,0.5119,0.3902,turn,roam_pivot_turn,0
1300,13.0,-0.6884,-0.9338,1.1601,0.1862,0.8399,0.5417,0.4884,turn,roam_pivot_turn,0
1310,13.1,-0.7355,-0.9569,1.2069,0.1837,0.7931,0.4955,0.4472,stop,roam_stance_pause,0
1320,13.2,-0.7772,-0.976,1.2476,0.1879,0.7524,0.4343,0.3784,stop,roam_stance_pause,0
1330,13.3,-0.8164,-0.9883,1.2819,0.1894,0.7181,0.4252,0.353,stop,roam_stance_pause,0
1340,13.4,-0.8505,-1.0043,1.316,0.1907,0.684,0.2859,0.2859,curve,roam_curve_right,0
1350,13.5,-0.8508,-1.0328,1.3381,0.1853,0.6619,0.3592,0.1868,curve,roam_curve_right,0
1360,13.6,-0.8377,-1.0681,1.3574,0.1842,0.6426,0.4131,0.2072,turn,boundary_turn_inward,1
1370,13.7,-0.8208,-1.1058,1.3772,0.1851,0.6228,0.4154,0.1355,turn,boundary_turn_inward,1
1380,13.8,-0.7912,-1.1371,1.3853,0.183,0.6147,0.4804,0.0218,turn,boundary_turn_inward,1
1390,13.9,-0.752,-1.1632,1.3851,0.1861,0.6149,0.5107,-0.1064,curve,roam_curve_right,0
