time_s,phase,angle_deg,x_m,y_m,vx_cm_s,vy_cm_s,speed_cm_s,lane_error_cm
2.3099999999999947,JUMP +30°,30.0,2.9260867701423083,-0.2089570246229993,159.5534884777207,-29.24279708733662,162.21114902158018,21.20036462788759
2.3199999999999945,JUMP +30°,30.0,2.9415659543327717,-0.21167516656603524,151.41619886476448,-25.687458010695007,153.57965613226617,21.754856893292907
2.3299999999999943,JUMP +30°,30.0,2.9571298836846496,-0.21425356862832504,157.94815468321738,-25.573128661225702,160.00501391318076,22.334616283338793
2.339999999999994,JUMP +30°,30.0,2.9727521463691837,-0.216914583986172,157.38550020751128,-27.61040950476113,159.7890183604278,22.919239563557483
2.349999999999994,JUMP +30°,30.0,2.9886278821082204,-0.21969131518114351,159.10309466529495,-28.613251264206085,161.65553773373307,23.516313320298686
2.3599999999999937,JUMP +30°,30.0,3.0042627429127187,-0.22248692040060822,154.2347004610795,-27.139735882723087,156.60430418766558,24.108137576337807
2.3699999999999934,JUMP +30°,30.0,3.0199419962268914,-0.22531868972275124,158.39969441964658,-29.085080476575705,161.04783481489687,24.70817789590276
2.3799999999999932,JUMP +30°,30.0,3.035501714315463,-0.2280987730190632,153.70469427358432,-26.770601420762276,156.01858268220917,25.31495085674287
2.389999999999993,JUMP +30°,30.0,3.0511971046541455,-0.23087055283325764,158.93581498409435,-28.098106113868898,161.40042395187353,25.938512419890447
2.399999999999993,JUMP +30°,30.0,3.0667361389819416,-0.23333844667628412,152.79410476315635,-22.199991327429835,154.39843932278708,26.58748207346111
2.4099999999999926,JUMP +30°,30.0,3.0825953751216084,-0.2358708206887823,162.13963752925466,-27.466041841871697,164.44952268881028,27.25726074310053
2.4199999999999924,JUMP +30°,30.0,3.0981367815108287,-0.23826907199017053,150.54397538104087,-21.54934954817765,152.0784764175292,27.92884825182047
2.429999999999992,JUMP +30°,30.0,3.1139935394722755,-0.24087773579513888,163.59930983576172,-28.926583410586943,166.13693570831023,28.609122864097493
2.439999999999992,JUMP +30°,30.0,3.1298540360500366,-0.24346284532194967,156.80691523579324,-24.254447756208876,158.67163231568492,29.30004599853988
2.4499999999999917,JUMP +30°,30.0,3.1456825756351643,-0.24610183959853185,159.2766592113047,-27.73075879818797,161.67266049965704,29.99314423193198
2.4599999999999915,JUMP +30°,30.0,3.161166256931999,-0.24846398410376036,154.005551612281,-24.168294959582408,155.89039870580973,30.697075402382357
2.4699999999999913,JUMP +30°,30.0,3.176868609438622,-0.2511058594928267,158.7081019979163,-27.20921832352536,161.02361069594195,31.39893475683224
2.479999999999991,JUMP +30°,30.0,3.192519681624769,-0.2537142395931214,154.83594521939173,-25.049906043438252,156.84918783585576,32.10857246498109
2.489999999999991,JUMP +30°,30.0,3.208235827853164,-0.2563419428589469,158.84630863823122,-27.01804587687305,161.12766544264528,32.82849507897492
2.4999999999999907,JUMP +30°,30.0,3.223860699755337,-0.2589000611409047,154.60659527804944,-24.68042507223716,156.56411685062736,33.55648525878969
2.5099999999999905,JUMP +30°,30.0,3.2390956450403046,-0.2613462878274275,150.4622294288522,-24.018410131154138,152.36720943145502,34.27762463029125
2.5199999999999902,JUMP +30°,30.0,3.2545390750386733,-0.263970314134834,156.85943464750497,-27.341943876867482,159.22457138551403,35.0046223855355
2.52999999999999,JUMP +30°,30.0,3.2701157299303505,-0.2666973685972028,154.97226734937016,-25.80274845579546,157.10565067901828,35.73916255362142
2.53999999999999,JUMP +30°,30.0,3.2859343205871228,-0.2695433656563986,159.58887025195565,-29.63451034210055,162.31700992659887,36.48690848090661
2.5499999999999896,JUMP +30°,30.0,3.3016682160536863,-0.2723182334872247,155.92615122386113,-26.740005399836587,158.20237837741158,37.242836968963374
2.5599999999999894,JUMP +30°,30.0,3.317431094034871,-0.2752122809449136,158.67117603941986,-30.31708594383227,161.54153585334728,37.99895692748798
2.569999999999989,JUMP +30°,30.0,3.332613819937434,-0.27787725638590555,146.90969568415935,-23.722315297864558,148.81265715356207,38.744067319086284
2.579999999999989,JUMP +30°,30.0,3.3482270881692595,-0.2807413173197873,159.79952491612858,-29.90934792022734,162.57446680347317,39.508069707661605
2.5899999999999888,JUMP +30°,30.0,3.3636908412258344,-0.2834933654524858,151.15917753928008,-25.80936678710346,153.34673249959658,40.27860362132167
2.5999999999999885,JUMP +30°,30.0,3.37934706216333,-0.28632686884040276,159.97085041103708,-29.626192700876565,162.69107005358308,41.0624181676376
2.6099999999999883,JUMP +30°,30.0,3.394949539047241,-0.28911383120482703,154.3826327578139,-26.728573366698427,156.67933473005627,41.85363662372659
2.619999999999988,JUMP +30°,30.0,3.410422516555811,-0.29182956177837205,154.7546733918821,-27.189306725023936,157.12500544730472,42.64903619522289
2.629999999999988,JUMP +30°,30.0,3.425885828307764,-0.2947243999660095,154.5073339493404,-29.78716963554869,157.35244427408793,43.43721524022794
2.6399999999999877,JUMP +30°,30.0,3.4412898212117033,-0.29771756761668294,152.4561885924265,-28.95342975835212,155.1811539295328,44.22110108445083
2.6499999999999875,JUMP +30°,30.0,3.4565774655383197,-0.30074291451323665,152.94137779289548,-30.924666677004115,156.03653434459824,45.001851302711906
2.6599999999999873,JUMP +30°,30.0,3.472021227268142,-0.30375909413211155,155.15916895838643,-29.399697417624544,157.91994782200564,45.80051493336734
2.669999999999987,JUMP +30°,30.0,3.4877559453643894,-0.30684199315460087,158.85047777130882,-31.56110235901727,161.95547990200717,46.620580344809156
2.679999999999987,JUMP +30°,30.0,3.503429556773781,-0.3099335581089262,155.08927326709232,-30.202931616594785,158.00284731849464,47.44299111306716
2.6899999999999866,JUMP +30°,30.0,3.5191425999525223,-0.31313076662945066,158.33586707372083,-33.026029839013155,161.74351748652674,48.26728369549564
2.6999999999999864,JUMP +60°,60.0,3.5345271433333854,-0.3162226969322406,150.8753937224352,-29.13959087713488,153.6635942160232,49.08397214858189
2.709999999999986,JUMP +60°,60.0,3.5494650985813436,-0.3194918143835179,148.3609937872352,-34.27566272841275,152.26885936726507,49.86384310837586
2.719999999999986,JUMP +60°,60.0,3.564723423473011,-0.32270626381852696,156.16146475751376,-31.013429134708577,159.21129313558697,50.67610038146819
2.7299999999999858,JUMP +60°,60.0,3.5802276636156676,-0.32611503743876635,155.6516949513726,-37.30918038560155,160.06069187117902,51.497832091542065
2.7399999999999856,JUMP +60°,60.0,3.595816730188855,-0.3294738829866103,156.10955623348525,-30.634025369885787,159.08688524758568,52.33582219892248
2.7499999999999853,JUMP +60°,60.0,3.6114043141587944,-0.3328950369243075,155.19310860153587,-33.641594640427044,158.79753728367112,53.1759869057542
2.759999999999985,JUMP +60°,60.0,3.6270000535485916,-0.33626104261265294,156.60570198664612,-33.424031973723004,160.1327942930825,54.02737071376769
2.769999999999985,JUMP +60°,60.0,3.6425287872279477,-0.3397300212457849,155.74801652110537,-35.88097443484079,159.82768526338674,54.8733523107301
2.7799999999999847,JUMP +60°,60.0,3.658271661598155,-0.3432730609473504,159.2594025839282,-35.21232149592822,163.10568627893485,55.73587321272586
2.7899999999999845,JUMP +60°,60.0,3.6737814758470533,-0.3465813089725612,151.91516362251673,-30.886113575399783,155.02312392107356,56.60500149753673
2.7999999999999843,JUMP +60°,60.0,3.689428289466917,-0.350026232211755,159.38295082905827,-36.612251284834635,163.534039145133,57.48072606437895
2.809999999999984,JUMP +60°,60.0,3.704950991232666,-0.3535534481606299,152.37550363312164,-33.783975943596424,156.07578652053934,58.34827442073749
2.819999999999984,JUMP +60°,60.0,3.720676463388172,-0.3573358896897075,160.5291022765393,-40.161885124872065,165.47679503330684,59.219195319582866
2.8299999999999836,JUMP +60°,60.0,3.736363407917888,-0.36114895123656054,154.90474262054883,-36.468607526320156,159.13968273578797,60.09184522233326
2.8399999999999834,JUMP +60°,60.0,3.752264800159198,-0.3651601650407698,161.4549973624798,-42.1724948770437,166.87191344702867,60.973129556153616
2.849999999999983,JUMP +60°,60.0,3.767954856462968,-0.36895322887712306,154.31649874347804,-35.005977109107036,158.2371644646389,61.86057825592064
2.859999999999983,JUMP +60°,60.0,3.78353195321521,-0.37301416133046117,155.2054688464331,-42.03240615063703,160.79633306345397,62.728000794913584
2.869999999999983,JUMP +60°,60.0,3.799271145768296,-0.377364247659107,158.65432322747577,-43.9820379293021,164.63782657452367,63.59439762127459
2.8799999999999826,JUMP +60°,60.0,3.8151098074183034,-0.38218145659802727,157.38446111225016,-47.32618863960919,164.34608827333025,64.44360477003382
2.8899999999999824,JUMP +60°,60.0,3.831070849718523,-0.3871581123160699,161.24211294306008,-51.35049059060448,169.22142851967152,65.29838904521128
2.899999999999982,JUMP +60°,60.0,3.8471242615921266,-0.3922455956313202,161.10388738497338,-51.3439921812445,169.08775255368994,66.15996225631125
2.909999999999982,JUMP +60°,60.0,3.8630493988219103,-0.3971534285568373,158.02466530380045,-47.38693403311892,164.9767146037201,67.03101669071513
2.9199999999999817,JUMP +60°,60.0,3.879003967593231,-0.40218580869359644,160.54798163722424,-52.04185628419713,168.77206289339335,67.9031447767028
2.9299999999999815,JUMP +60°,60.0,3.894747966930765,-0.4071404424400073,157.60082519033674,-48.951734425579765,165.02815639746925,68.7714193872294
