time_s,jump_idx,requested_height_cm,phase,height_cm,vz_cm_s,vx_cm_s,measured_rise_cm,ground_contact
1.8000000000000014,0,20.0,airborne,34.612322828757335,-96.20157875968368,137.36300350812482,20.988664020910587,0
1.8100000000000014,0,20.0,airborne,33.591413286759966,-106.01712538121708,137.3635431297864,20.988664020910587,0
1.8200000000000014,0,20.0,airborne,32.47235147087072,-115.83216264283574,137.36331291153564,20.988664020910587,0
1.8300000000000014,0,20.0,airborne,31.25514144668716,-125.64686134837626,137.3626362446307,20.988664020910587,0
1.8400000000000014,0,20.0,landing,30.24301430038845,-96.63241491028774,177.36367123228968,20.988664020910587,0
1.8500000000000014,0,20.0,landing,28.96458165608597,-135.9888870388453,142.83581749586173,20.988664020910587,0
1.8600000000000014,0,20.0,landing,27.516474364903846,-149.59941996841087,138.34846012192835,20.988664020910587,0
1.8700000000000014,0,20.0,landing,25.94534831253814,-162.41199517180922,142.22920675085973,20.988664020910587,0
1.8800000000000014,0,20.0,landing,24.27387854228293,-171.13848426528085,128.91920279381148,20.988664020910587,0
1.8900000000000015,0,20.0,landing,22.487468561265068,-182.66358618776792,143.1923135536072,20.988664020910587,1
1.9000000000000015,0,20.0,move,20.42025385737235,-204.05737663872992,125.66962444398828,20.988664020910587,1
1.9100000000000015,0,20.0,move,18.6842456286021,-153.42553676816289,148.054405014338,20.988664020910587,1
1.9200000000000015,0,20.0,move,17.375336272021013,-109.80352373026672,141.3650595435663,20.988664020910587,1
1.9300000000000015,0,20.0,move,16.719192836805888,-35.726508689707515,156.4420568780802,20.988664020910587,1
1.9400000000000015,0,20.0,move,16.723593378277794,24.359294533854282,144.08451281299654,20.988664020910587,1
1.9500000000000015,0,20.0,move,17.18250216466049,51.18333084412448,145.92565800731296,20.988664020910587,1
1.9600000000000015,0,20.0,move,17.78132946381072,61.47396305873832,142.58173997850497,20.988664020910587,1
1.9700000000000015,0,20.0,move,18.382812015650934,57.3694393033934,138.2989958084682,20.988664020910587,1
1.9800000000000015,0,20.0,move,18.89552149429219,46.921527511208204,142.6291679255006,20.988664020910587,0
1.9900000000000015,0,20.0,move,19.306034650523326,36.80153670719534,142.31365953465797,20.988664020910587,0
2.0000000000000013,0,20.0,move,19.61756243091804,26.873034846441346,142.4118823835838,20.988664020910587,0
2.010000000000001,0,20.0,move,19.829314740731885,16.922782206168062,142.40956181400185,20.988664020910587,0
2.020000000000001,0,20.0,move,19.947132878984743,8.080514086431808,137.62658755762303,20.988664020910587,0
2.0300000000000007,0,20.0,move,19.967116597860823,-2.393717100366748,142.48918087301473,20.988664020910587,0
2.0400000000000005,0,20.0,move,19.88408300426613,-12.520502838570147,142.47906212685484,20.988664020910587,0
2.0500000000000003,0,20.0,move,19.706102827193924,-22.04930395441039,141.46639878135286,20.988664020910587,0
2.06,0,20.0,move,19.429484576333593,-31.903993728105778,141.8967090639574,20.988664020910587,0
2.07,0,20.0,move,19.054699695722604,-41.431893707653074,142.41191828890226,20.988664020910587,1
2.0799999999999996,0,20.0,move,18.598838246368718,-48.503081799970325,143.5303894463276,20.988664020910587,1
2.0899999999999994,0,20.0,move,18.101099137255638,-49.773187368191635,140.30340800229447,20.988664020910587,1
2.099999999999999,0,20.0,move,17.64616994225713,-41.71732598741647,143.42649604834793,20.988664020910587,1
2.109999999999999,0,20.0,move,17.310131151664358,-28.178175650283205,142.60705409208302,20.988664020910587,1
2.1199999999999988,0,20.0,move,17.15212524950758,-7.761482789237902,143.32181160216345,20.988664020910587,1
