time_s,step,sub_skill,x_m,y_m,z_m,vx_m_s,vy_m_s,speed_m_s,cross_track_error_cm,curvature_1_m,heading_err_deg,dist_to_goal_m
3.95,395,curve,4.890211128450321,0.12994899772488222,0.1856321986112615,1.3698499687434949,-1.0674115320361188,1.7366220992461912,15.848648483617547,0.6961418225267865,2.157033642904694,2.912689329296974
3.96,396,curve,4.903734723385729,0.11945255283414874,0.18518314828107044,1.3382249563457773,-1.0347620516501863,1.6916200924917983,15.80272217901336,0.6961418225267865,1.9842252495995596,2.8987277501927795
3.97,397,curve,4.917298334767064,0.10893070610589464,0.18442770214247708,1.369539612904044,-1.0637974463083686,1.7341579391986086,15.757116029161589,0.6961418225267865,2.152859086490795,2.8847592428369
3.98,398,curve,4.930635534456303,0.09878023117792467,0.18361076049945152,1.310822448863751,-0.9842335861436632,1.6391983542385518,15.728050082561676,0.6961418225267865,1.248015691112035,2.871064448035283
3.99,399,curve,4.944177695757308,0.08847071563990065,0.18291627345132042,1.3772552031959298,-1.0425615669643187,1.7273582476259397,15.698291466350089,0.6961418225267865,1.5066359403183547,2.8571925364500146
4.0,400,curve,4.9577346001826035,0.07833970791555966,0.18252859104079255,1.3411261997473167,-0.993556666401185,1.6690639092014767,15.683795414936858,0.6961418225267865,0.9387398737563095,2.8433450014153543
4.01,401,curve,4.971387050215673,0.06815858961048371,0.1821438032865116,1.3786063014365504,-1.0314342882146437,1.7217467947597327,15.670913478717635,0.6961418225267865,1.2339327868771932,2.8294341999869026
4.0200000000000005,402,curve,4.984906519006368,0.058059674551196865,0.18161612816253334,1.3328138487509484,-0.9956749370070175,1.6636590202340875,15.79129422918593,0.8632829956913591,6.513069208562799,2.8156923316326328
4.03,403,curve,4.998294267961477,0.04805732341483824,0.18120383018579764,1.3546864607740707,-1.0269704387061527,1.699954025549187,15.734879573626761,0.8632829956913591,7.0475330864379755,2.802118053194275
4.04,404,curve,5.011753034040903,0.03782185809170988,0.18111393292107095,1.351165278791552,-1.029777273495288,1.6988492704237306,15.663385785577782,0.8632829956913591,7.342367113060274,2.788503666800792
4.05,405,curve,5.025200763313077,0.027614646210228865,0.18124106709352436,1.3428166297273534,-1.0161022419748666,1.6839300066269616,15.593580827918185,0.8632829956913591,7.2969809627254545,2.774936833714525
4.0600000000000005,406,curve,5.038572029076263,0.01750508482337001,0.18143825366398844,1.3326282852947644,-1.0083236013232757,1.6711117951092334,15.52742437821869,0.8632829956913591,7.450670069754556,2.761483644709103
4.07,407,curve,5.05182052118576,0.0074483707517775145,0.18165491056239147,1.3199085199397989,-1.0040539794145662,1.658397688911769,15.458593795635556,0.8632829956913591,7.7616215281173915,2.7481897631622667
4.08,408,curve,5.064878891662617,-0.002472962182906667,0.18200879151675453,1.3126833562935303,-1.0026052797450782,1.651773271627421,15.390017359380506,0.8632829956913591,8.042076995237904,2.735122417037419
4.09,409,curve,5.078053545199831,-0.012496154781090524,0.1823983256289194,1.3187234119835864,-0.9992551836902649,1.654552011707549,15.548541402548288,1.0330054315580315,13.737536508783688,2.7219753296133544
4.1,410,curve,5.091173063337535,-0.02241850477415328,0.18300568657175015,1.322266018443021,-0.9969254861926883,1.6559733840100472,15.410071816833923,1.0330054315580315,13.875182063384171,2.7089198946222037
4.11,411,curve,5.104343994213652,-0.032377881484217316,0.18358818446963585,1.3133272753411687,-0.996460965323116,1.6485639167371504,15.271216608429617,1.0330054315580315,14.337379349153819,2.6958506370072897
4.12,412,curve,5.117420666493734,-0.0423315088721289,0.18403215159150732,1.303202670560498,-0.9946715826850909,1.639423300419168,15.127814756654063,1.0330054315580315,14.803655682221878,2.682913502243625
4.13,413,curve,5.130400825948432,-0.05227407610288545,0.18446851693208563,1.294867892414559,-0.9940876337636531,1.6324500244748505,14.980194946865566,1.0330054315580315,15.281684782148336,2.6701111114522047
4.14,414,curve,5.143215549144665,-0.06212151160453405,0.18496430890639626,1.2905674146365824,-0.9928154008519481,1.6282649268133753,14.83178562302529,1.0330054315580315,15.666543176916061,2.6575108116418997
4.15,415,curve,5.156189732776928,-0.0720462376398826,0.18517901317861143,1.2993584192913792,-0.9908207749982278,1.6340312450964578,14.685355267607857,1.0330054315580315,15.766426796515175,2.644791938502121
4.16,416,curve,5.169222094910187,-0.08198028193674708,0.18507048222219777,1.306232937490766,-0.9969063577321919,1.6431879907888265,14.839383467229087,1.080319130896326,21.851736691213432,2.6320551202619864
4.17,417,curve,5.182318097845133,-0.09192428824922051,0.18436530674942994,1.30847085067171,-0.9953790652261123,1.6440424114200818,14.591067428284408,1.080319130896326,22.20482593465603,2.6192956332200614
4.18,418,curve,5.195383790454758,-0.10180435346490478,0.18328257749236887,1.3047866135000332,-0.9851262823235297,1.6349134224458077,14.346921921787148,1.080319130896326,22.4531872825027,2.606605209653449
4.19,419,curve,5.208278514173805,-0.1115207405980666,0.18213682883535598,1.300576018930827,-0.9736136223308841,1.624629639827559,14.108993058670741,1.080319130896326,22.68417664100869,2.5941199132538197
4.2,420,curve,5.221274741188399,-0.12122734936500865,0.1811454366686865,1.29605744394665,-0.9679820850706421,1.6176384685791914,13.876770457463977,1.080319130896326,23.10203273642028,2.581573360253913
4.21,421,curve,5.234213916353667,-0.13092039397227045,0.18060599570152153,1.2926486148989733,-0.9711598755193638,1.6168153714691793,13.643015205427398,1.080319130896326,23.765908867163017,2.569124238988997
4.22,422,curve,5.247143050290763,-0.14069529212320786,0.18075997825411602,1.2934423197850085,-0.9818577220430064,1.6238958159150192,13.401588687559768,1.080319130896326,24.579657121945292,2.556731261736764
4.23,423,turn,5.260029745038408,-0.15050888390725442,0.18090391440671066,1.2878764425316098,-0.9821523187303055,1.6196446858540272,13.459159333689158,1.0614680915711878,30.4572451266776,2.5444258270082187
4.24,424,turn,5.272423541587174,-0.15989085458460695,0.1806098093157049,1.235997188388142,-0.9413431392222038,1.553646020000729,13.093440954519977,1.0614680915711878,31.000069121951547,2.5326288323985526
4.25,425,turn,5.285031878154474,-0.1695270227154453,0.18046467298036975,1.2748894219083844,-0.978578002762582,1.6071583449009306,12.712975046009408,1.0614680915711878,31.833123359570124,2.5206755096033713
4.26,426,turn,5.2974890848266964,-0.1792172788765122,0.18068420756398507,1.22759845419175,-0.9629359259755655,1.5602062563226677,12.321519062033357,1.0614680915711878,33.07943965599971,2.508920219584835
4.2700000000000005,427,turn,5.3100432330399014,-0.1890439526373999,0.18149108500695463,1.276131357295907,-0.9956441942060719,1.6185853707883782,11.921422693608454,1.0614680915711878,33.60795767388869,2.497122998012377
4.28,428,turn,5.322575471626766,-0.19880109253046793,0.18246277807984113,1.2383214618771408,-0.9626988057973552,1.568511725690692,11.52682788783534,1.0614680915711878,34.206087638432756,2.4853883224235087
