time_s,step,contact_number,phase,x_m,y_m,z_m,vx_m_s,vy_m_s,gap_to_wall_cm
3.0100000000000002,301,2,brace,3.0678246124463358,-0.04196188721583362,0.21355032650049846,1.0444453355625956,1.9938339980102988,25.803811278416646
3.02,302,2,brace,3.0782129796738418,-0.022035725143436147,0.21117099647779805,1.0428637523516544,1.9917548818740876,27.796427485656384
3.0300000000000002,303,2,brace,3.0886033791842014,-0.0021911160595064682,0.20789059264341203,1.043290635169202,1.9689664793231385,29.780888394049356
3.04,304,2,brace,3.0990262055870503,0.016898475810039146,0.2044423925804841,1.0442454108120394,1.8601154168908058,31.689847581003917
3.0500000000000003,305,2,brace,3.1092934517926087,0.03475347844610668,0.20163501202297643,1.0142723013958659,1.7422150901022988,33.47534784461067
3.06,306,2,shove,3.1191579842556263,0.05173412793183356,0.1994394716753981,0.9704339324625695,1.6694448366422456,35.17341279318336
3.0700000000000003,307,2,shove,3.128612789713524,0.0681001932711707,0.19812517311979386,0.9292445095319332,1.6106348389720964,36.810019327117075
3.08,308,2,shove,3.1377166595983015,0.08387145039347903,0.19769547551835656,0.9031403997950602,1.5562919180221126,38.3871450393479
3.09,309,2,shove,3.146634213044652,0.09912649386220952,0.19755731771111756,0.8892120158637644,1.5063776878834418,39.912649386220956
3.1,310,2,shove,3.1554128322254056,0.11383727463108034,0.19789416892737652,0.8838851031856412,1.4625238356949037,41.38372746310803
3.11,311,2,shove,3.164231755482792,0.12825352922500846,0.19865927410796824,0.8853452003496181,1.4333431684372442,42.82535292250085
3.12,312,2,shove,3.173054038657047,0.14254650327175258,0.19931832279816422,0.8836664292913505,1.4257455276014745,44.25465032717526
3.13,313,2,shove,3.1818484025015406,0.15671852529708538,0.19984596041787356,0.8800390394578447,1.4143157526760304,45.67185252970853
3.14,314,2,shove,3.1905903235854263,0.1707165586153377,0.20040773520344346,0.8748783313256204,1.4109612253638857,47.07165586153377
3.15,315,2,shove,3.1992573416844463,0.18485243078493827,0.2010895976842545,0.8645246564109068,1.4121036090230095,48.48524307849382
3.16,316,2,shove,3.2077902042132425,0.19894037744296464,0.2019864217807953,0.8523327237304429,1.4090861118972748,49.89403774429646
3.17,317,2,shove,3.2162428606736793,0.21297041171667438,0.20256257442309203,0.8435358951147417,1.4004898390767264,51.29704117166744
3.18,318,2,shove,3.224640756800131,0.22691530579735478,0.20282557066394719,0.8395632727650761,1.3896844648008513,52.69153057973548
3.19,319,2,shove,3.2330259285630185,0.24075208622585956,0.20290064480181563,0.8397069671480921,1.3784566406628491,54.075208622585954
3.2,320,2,shove,3.2413852907608,0.2542581204337264,0.20307928005994372,0.8416432898180244,1.367222686427149,55.42581204337264
3.21,321,2,shove,3.2498224723735065,0.26796556959563084,0.20303928405254118,0.8479068827379432,1.3725700546128143,56.796556959563084
3.22,322,2,shove,3.258305818592154,0.2817424306256808,0.20255153533029607,0.8510274399864515,1.3795604955807443,58.174243062568074
3.23,323,2,shove,3.2666905058849136,0.29554789417972654,0.2017462187693762,0.8374276998671676,1.3811264655955666,59.55478941797266
3.24,324,2,shove,3.274961963406298,0.3093014614781358,0.2008875829178644,0.8241107450910814,1.3717164632994758,60.93014614781358
3.25,325,2,shove,3.283093010034565,0.32281978710186054,0.20036985431684035,0.8133054053976339,1.360202508286233,62.281978710186046
3.2600000000000002,326,2,shove,3.2911653268259506,0.33637737348118457,0.20020510080576157,0.8069627972466729,1.352042306550437,63.63773734811845
3.27,327,2,shove,3.2992393972491554,0.3498551712067994,0.20047420193920143,0.8090823091774919,1.3441556183936387,64.98551712067993
3.2800000000000002,328,2,shove,3.3073851634379956,0.3632379250059729,0.2007943196501698,0.819641846298106,1.3348170055022026,66.32379250059729
3.29,329,2,shove,3.315632308359728,0.3765978072725813,0.20124097976333483,0.8269706652143809,1.3394311646799943,67.65978072725812
3.3000000000000003,330,2,shove,3.3237906659572847,0.3897428253613862,0.20166233100106404,0.8164521608483509,1.3384792246089565,68.97428253613862
3.31,331,2,shove,3.331876923269,0.4031401283527917,0.2017984005375436,0.8066119640007373,1.335926354349123,70.31401283527917
3.3200000000000003,332,2,shove,3.3398576128094497,0.41643456289045766,0.20199292832977714,0.7957692823726404,1.326206075841004,71.64345628904577
3.33,333,2,shove,3.3477786679543264,0.42965607592113136,0.2022375030510786,0.791795229688091,1.3171065409125393,72.96560759211313
3.34,334,2,shove,3.355717050788974,0.4426142913106052,0.20252548645249124,0.7975095009759416,1.3041612155850495,74.26142913106052
3.35,335,2,shove,3.3637085617037474,0.4556206142357197,0.20263762536783878,0.8036291606156345,1.298898643317749,75.56206142357198
3.36,336,2,shove,3.37174693262021,0.46865565182951796,0.20256655266797924,0.8068883897558111,1.3092362557755792,76.86556518295178
3.37,337,2,shove,3.379796081885652,0.4818058667602859,0.20186231799278612,0.8061178830562601,1.316966447089147,78.1805866760286
3.38,338,2,shove,3.387813629333547,0.4949146193871807,0.20072142922655034,0.8020058122543298,1.3098482349783105,79.49146193871806
3.39,339,2,shove,3.395774389333663,0.5078953235842952,0.19935752269720824,0.7957074207666937,1.2951414001848731,80.78953235842953
3.4,340,2,shove,3.40367822865525,0.5207711224439747,0.19792170536955117,0.7894527535951367,1.2833987181518904,82.07711224439748
3.41,341,2,shove,3.411570005881132,0.5334938768287257,0.19671393286874064,0.7838639543925752,1.2774627218392731,83.34938768287257
3.42,342,2,shove,3.41936824833093,0.5462007894018414,0.1960260037855529,0.7792036014765216,1.2673299775733966,84.62007894018414
3.43,343,2,shove,3.42712980949904,0.5587027940872668,0.19634100951384562,0.7778340605423916,1.260528854128323,85.87027940872667
3.44,344,2,shove,3.4348760898277235,0.5712977855831141,0.19737844543480626,0.7743698161517721,1.2547751965837373,87.1297785583114
3.45,345,2,shove,3.44256689436345,0.5837682203974379,0.19842688321879495,0.7690253000054477,1.2420267939404632,88.37682203974379
3.46,346,2,recovery,3.4502515916258805,0.5961216145727605,0.19952009234062631,0.7699557884625433,1.2315856812840176,89.61216145727604
3.47,347,2,recovery,3.4594158195220692,0.605999820009374,0.20045765917158379,0.9806045322873536,0.8755531831028254,90.5999820009374
3.48,348,2,recovery,3.4676674147082194,0.6175226819274993,0.20051752963740116,0.7673098652558921,1.2889828045633656,91.75226819274992
3.49,349,2,recovery,3.476002176324211,0.6289541914083506,0.19972114144399816,0.8747963597966428,1.0730669233359533,92.89541914083507
3.5,350,2,recovery,3.4839281271786633,0.64107515278993,0.1978221054785051,0.7838325859513688,1.3024431660627802,94.107515278993
3.5100000000000002,351,2,recovery,3.491824635721222,0.6529660036667414,0.1954866608562817,0.7878681950400535,1.1171463075683723,95.29660036667414
3.52,352,2,recovery,3.4996668970220832,0.6653459239022709,0.19273145052803528,0.7833994274834277,1.3208360773467533,96.53459239022709
3.5300000000000002,353,2,recovery,3.5074700859983685,0.6775987905373363,0.1897265896831572,0.7671892893629491,1.1910702800968422,97.75987905373363
3.54,354,2,recovery,3.515319236207953,0.6902501422312131,0.18644448915269915,0.7963537548103683,1.3130756900180978,99.0250142231213
3.5500000000000003,355,2,recovery,3.523528196548641,0.702535254144493,0.1839998274945978,0.828720048817577,1.1768842714015013,100.25352541444931
3.56,356,2,recovery,3.531893990541465,0.7150498862508397,0.18232955225864533,0.833251041710342,1.2664825582591044,101.50498862508397
3.5700000000000003,357,2,recovery,3.540827067652037,0.7272402287322828,0.1819687095510274,0.9314944166066889,1.1909327883698577,102.72402287322828
3.58,358,2,recovery,3.5500519747410157,0.7394867109980319,0.18249229796667335,0.9063025287371643,1.2500125845284127,103.94867109980319
3.59,359,2,recovery,3.5595175857319763,0.7516063420631692,0.18359688475053157,0.970733307975183,1.188664880867965,105.16063420631694
3.6,360,2,recovery,3.5689419396471456,0.7638714020057148,0.18472305692440388,0.9469902457640239,1.2543256621744665,106.3871402005715
3.61,361,2,recovery,3.578500051076501,0.7760008056347775,0.18571277143507348,0.9595958896907274,1.1877025541846224,107.60008056347776
3.62,362,2,recovery,3.588044105390908,0.7881312590584866,0.1866068671178066,0.9502345816254978,1.2298075414151624,108.81312590584866
3.63,363,2,recovery,3.5971196432006702,0.8000295182581676,0.1876586612413812,0.8770506100217791,1.1666403085801318,110.00295182581677
3.64,364,2,recovery,3.6065051984626724,0.8120058144094523,0.18842591533492906,0.9539761271153122,1.207152923714252,111.20058144094524
3.65,365,2,recovery,3.615993300159355,0.8239333012971385,0.18915574843931093,0.941077867638907,1.1843487829774608,112.39333012971386
