time_s,phase,core_height_cm,vertical_speed_cm_s,ground_contact
2.300000000000000100e-01,1.000000000000000000e+00,2.320572812699336396e+01,3.492094031560119447e+02,1.000000000000000000e+00
2.400000000000000189e-01,1.000000000000000000e+00,2.643532341594074353e+01,3.079714117439770575e+02,1.000000000000000000e+00
2.500000000000000000e-01,1.000000000000000000e+00,2.951987981172248965e+01,3.032091410186430949e+02,0.000000000000000000e+00
2.600000000000000089e-01,1.000000000000000000e+00,3.243226839166179332e+01,2.853912884891396970e+02,0.000000000000000000e+00
2.700000000000000178e-01,1.000000000000000000e+00,3.523438939163484918e+01,2.762826903719939082e+02,0.000000000000000000e+00
2.800000000000000266e-01,1.000000000000000000e+00,3.792224555079921089e+01,2.638306782885782127e+02,0.000000000000000000e+00
2.900000000000000355e-01,1.000000000000000000e+00,4.050576341686204529e+01,2.547291062088407330e+02,0.000000000000000000e+00
2.999999999999999889e-01,1.000000000000000000e+00,4.298178455031711565e+01,2.428856144731608708e+02,0.000000000000000000e+00
3.099999999999999978e-01,1.000000000000000000e+00,4.535818659985866219e+01,2.341590384965543592e+02,0.000000000000000000e+00
3.200000000000000067e-01,1.000000000000000000e+00,4.763074253209932607e+01,2.226697795457275788e+02,0.000000000000000000e+00
3.300000000000000155e-01,2.000000000000000000e+00,4.927745355748357525e+01,1.292155482060660461e+02,0.000000000000000000e+00
3.400000000000000244e-01,2.000000000000000000e+00,5.109760133556990525e+01,2.170870435249764228e+02,0.000000000000000000e+00
3.500000000000000333e-01,2.000000000000000000e+00,5.270991660587196748e+01,1.237970221536557744e+02,0.000000000000000000e+00
3.600000000000000422e-01,2.000000000000000000e+00,5.446010352347295935e+01,2.090025210071881077e+02,0.000000000000000000e+00
3.699999999999999956e-01,2.000000000000000000e+00,5.597672536549877975e+01,1.133183742243399053e+02,0.000000000000000000e+00
3.800000000000000044e-01,2.000000000000000000e+00,5.761008288678500833e+01,1.965669609214450020e+02,0.000000000000000000e+00
3.900000000000000133e-01,2.000000000000000000e+00,5.917891646846361908e+01,1.591994306003690838e+02,0.000000000000000000e+00
4.000000000000000222e-01,2.000000000000000000e+00,6.070037498466926706e+01,1.475133364302912184e+02,0.000000000000000000e+00
4.100000000000000311e-01,2.000000000000000000e+00,6.211260898572824374e+01,1.371067061668149165e+02,0.000000000000000000e+00
4.200000000000000400e-01,2.000000000000000000e+00,6.341707625529857495e+01,1.260310373168208571e+02,0.000000000000000000e+00
4.299999999999999933e-01,2.000000000000000000e+00,6.461892332464528010e+01,1.163315635959713603e+02,0.000000000000000000e+00
4.400000000000000022e-01,2.000000000000000000e+00,6.571776945030720185e+01,1.055880852076513037e+02,0.000000000000000000e+00
4.500000000000000111e-01,2.000000000000000000e+00,6.671743701719049113e+01,9.624733797499652610e+01,0.000000000000000000e+00
4.600000000000000200e-01,2.000000000000000000e+00,6.761607701266855486e+01,8.559925052553826674e+01,0.000000000000000000e+00
4.700000000000000289e-01,2.000000000000000000e+00,6.841709080934114695e+01,7.645770854495452795e+01,0.000000000000000000e+00
4.800000000000000377e-01,2.000000000000000000e+00,6.911781337634043609e+01,6.580177986913325583e+01,0.000000000000000000e+00
4.899999999999999911e-01,2.000000000000000000e+00,6.972165932375604314e+01,5.679171163051310600e+01,0.000000000000000000e+00
5.000000000000000000e-01,2.000000000000000000e+00,7.022542473416963560e+01,4.608463320022070775e+01,0.000000000000000000e+00
5.100000000000000089e-01,2.000000000000000000e+00,7.063272577261564322e+01,3.717766832863300408e+01,0.000000000000000000e+00
5.200000000000000178e-01,2.000000000000000000e+00,7.093994212205684846e+01,2.640183131421563445e+01,0.000000000000000000e+00
5.300000000000000266e-01,2.000000000000000000e+00,7.115095824373457845e+01,1.758468918789855095e+01,0.000000000000000000e+00
5.400000000000000355e-01,2.000000000000000000e+00,7.126179009841590073e+01,6.732924800667521303e+00,0.000000000000000000e+00
5.500000000000000444e-01,2.000000000000000000e+00,7.127662375894895774e+01,-2.000139302751837711e+00,0.000000000000000000e+00
5.600000000000000533e-01,2.000000000000000000e+00,7.119113841220671191e+01,-1.293001241776861399e+01,0.000000000000000000e+00
5.700000000000000622e-01,2.000000000000000000e+00,7.100983178569212839e+01,-2.158182229779578520e+01,0.000000000000000000e+00
5.800000000000000711e-01,2.000000000000000000e+00,7.072805778177820457e+01,-3.259020916345754415e+01,0.000000000000000000e+00
5.899999999999999689e-01,2.000000000000000000e+00,7.035062764982346550e+01,-4.116249282690764488e+01,0.000000000000000000e+00
5.999999999999999778e-01,2.000000000000000000e+00,6.987257698418008545e+01,-5.224904419479290141e+01,0.000000000000000000e+00
6.099999999999999867e-01,2.000000000000000000e+00,6.929902907876382301e+01,-6.074310517056969871e+01,0.000000000000000000e+00
6.199999999999999956e-01,2.000000000000000000e+00,6.862470644418078791e+01,-7.190711143420507767e+01,0.000000000000000000e+00
6.300000000000000044e-01,2.000000000000000000e+00,6.785504163291115276e+01,-8.032408513821054896e+01,0.000000000000000000e+00
6.400000000000000133e-01,2.000000000000000000e+00,6.698444872520732929e+01,-9.156463397987131714e+01,0.000000000000000000e+00
6.500000000000000222e-01,2.000000000000000000e+00,6.601866598865726132e+01,-9.990560396558912259e+01,0.000000000000000000e+00
6.600000000000000311e-01,2.000000000000000000e+00,6.495180353167869214e+01,-1.112216636201438718e+02,0.000000000000000000e+00
6.700000000000000400e-01,2.000000000000000000e+00,6.378990130211045084e+01,-1.194877212030369833e+02,0.000000000000000000e+00
6.800000000000000488e-01,2.000000000000000000e+00,6.252676989799106622e+01,-1.308781829157775860e+02,0.000000000000000000e+00
6.900000000000000577e-01,2.000000000000000000e+00,6.116874657143387140e+01,-1.390704556509605538e+02,0.000000000000000000e+00
7.000000000000000666e-01,2.000000000000000000e+00,5.970934698348359859e+01,-1.505341533775148832e+02,0.000000000000000000e+00
7.100000000000000755e-01,2.000000000000000000e+00,5.815520105631259895e+01,-1.586538165688409379e+02,0.000000000000000000e+00
7.199999999999999734e-01,2.000000000000000000e+00,5.649953425397905704e+01,-1.701895348698188570e+02,0.000000000000000000e+00
7.299999999999999822e-01,2.000000000000000000e+00,5.474926431812341576e+01,-1.782378147403029800e+02,0.000000000000000000e+00
7.399999999999999911e-01,2.000000000000000000e+00,5.289733144512468499e+01,-1.898442913502816793e+02,0.000000000000000000e+00
7.500000000000000000e-01,2.000000000000000000e+00,5.095093614815625926e+01,-1.978224647312055993e+02,0.000000000000000000e+00
7.600000000000000089e-01,2.000000000000000000e+00,4.890273848035082693e+01,-2.094983912254782297e+02,0.000000000000000000e+00
7.700000000000000178e-01,2.000000000000000000e+00,4.676021648920381324e+01,-2.174077841507234723e+02,0.000000000000000000e+00
7.800000000000000266e-01,2.000000000000000000e+00,4.451575540242075135e+01,-2.291518062423330377e+02,0.000000000000000000e+00
7.900000000000000355e-01,2.000000000000000000e+00,4.217710537920081038e+01,-2.369937924114716168e+02,0.000000000000000000e+00
8.000000000000000444e-01,2.000000000000000000e+00,3.973638232861771513e+01,-2.488045104046306335e+02,0.000000000000000000e+00
8.100000000000000533e-01,2.000000000000000000e+00,3.720160291645433404e+01,-2.565805097845490650e+02,0.000000000000000000e+00
8.200000000000000622e-01,2.000000000000000000e+00,3.456461942396501286e+01,-2.684564792693591926e+02,0.000000000000000000e+00
8.300000000000000711e-01,2.000000000000000000e+00,3.183370923904510974e+01,-2.761679568355677361e+02,0.000000000000000000e+00
8.400000000000000799e-01,3.000000000000000000e+00,2.917240053185845738e+01,-2.751015948722814528e+02,0.000000000000000000e+00
8.499999999999999778e-01,3.000000000000000000e+00,2.635484753537862446e+01,-2.862507675860206859e+02,0.000000000000000000e+00
8.599999999999999867e-01,3.000000000000000000e+00,2.340086281074624353e+01,-3.013858809098728671e+02,0.000000000000000000e+00
8.699999999999999956e-01,3.000000000000000000e+00,2.033052982011801646e+01,-3.100728116309571192e+02,1.000000000000000000e+00
8.800000000000000044e-01,3.000000000000000000e+00,1.735957342707548534e+01,-2.726957064264733503e+02,1.000000000000000000e+00
8.900000000000000133e-01,3.000000000000000000e+00,1.538276404361212890e+01,-1.409902705537529073e+02,1.000000000000000000e+00
9.000000000000000222e-01,3.000000000000000000e+00,1.475802785481036317e+01,-1.523831863673739662e+01,1.000000000000000000e+00
9.100000000000000311e-01,3.000000000000000000e+00,1.522111130233653675e+01,8.453005229556865174e+01,1.000000000000000000e+00
9.200000000000000400e-01,3.000000000000000000e+00,1.650581179969608314e+01,1.532963304975014864e+02,1.000000000000000000e+00
9.300000000000000488e-01,3.000000000000000000e+00,1.830708671784537955e+01,1.937846526747184157e+02,1.000000000000000000e+00
9.400000000000000577e-01,3.000000000000000000e+00,2.030000303408569451e+01,1.988685587362001854e+02,1.000000000000000000e+00
9.500000000000000666e-01,3.000000000000000000e+00,2.223758140540858363e+01,1.895451262542174788e+02,0.000000000000000000e+00
9.600000000000000755e-01,3.000000000000000000e+00,2.407160552188015146e+01,1.793122478416712511e+02,0.000000000000000000e+00
9.699999999999999734e-01,3.000000000000000000e+00,2.580364977370612323e+01,1.691460324257227796e+02,0.000000000000000000e+00
9.799999999999999822e-01,3.000000000000000000e+00,2.743464826039716442e+01,1.590821570834391423e+02,0.000000000000000000e+00
9.899999999999999911e-01,3.000000000000000000e+00,2.896553684433078502e+01,1.491025752797056327e+02,0.000000000000000000e+00
1.000000000000000000e+00,3.000000000000000000e+00,3.039700322926511689e+01,1.391824702804185563e+02,0.000000000000000000e+00
1.010000000000000009e+00,3.000000000000000000e+00,3.172951965669212981e+01,1.293020272404455397e+02,0.000000000000000000e+00
1.020000000000000018e+00,3.000000000000000000e+00,3.296339618688786288e+01,1.194474052156137418e+02,0.000000000000000000e+00
1.030000000000000027e+00,3.000000000000000000e+00,3.409882775762118712e+01,1.096086286289684892e+02,0.000000000000000000e+00
1.040000000000000036e+00,3.000000000000000000e+00,3.513593430661288153e+01,9.977963911111940831e+01,0.000000000000000000e+00
1.050000000000000044e+00,3.000000000000000000e+00,3.607478758326274715e+01,8.995636810292110397e+01,0.000000000000000000e+00
1.060000000000000053e+00,3.000000000000000000e+00,3.691777595305538284e+01,8.032816854612929092e+01,0.000000000000000000e+00
1.070000000000000062e+00,3.000000000000000000e+00,3.765962305002678789e+01,7.029529410910487286e+01,0.000000000000000000e+00
1.080000000000000071e+00,3.000000000000000000e+00,3.830373058336430603e+01,6.049042283587727553e+01,0.000000000000000000e+00
1.090000000000000080e+00,3.000000000000000000e+00,3.884983777118257109e+01,5.069055474933875871e+01,0.000000000000000000e+00
1.100000000000000089e+00,3.000000000000000000e+00,3.929792767801414044e+01,4.088750682794118063e+01,0.000000000000000000e+00
1.110000000000000098e+00,3.000000000000000000e+00,3.965037455219027862e+01,3.127527576121998010e+01,0.000000000000000000e+00
1.120000000000000107e+00,3.000000000000000000e+00,3.990182516752511077e+01,2.125862005876998140e+01,0.000000000000000000e+00
1.130000000000000115e+00,3.000000000000000000e+00,4.005561293649475374e+01,1.146107799855844434e+01,0.000000000000000000e+00
1.140000000000000124e+00,3.000000000000000000e+00,4.011144838668508328e+01,1.664505446664249932e+00,0.000000000000000000e+00
1.150000000000000133e+00,3.000000000000000000e+00,4.006929786265626348e+01,-8.135700093594415705e+00,0.000000000000000000e+00
1.160000000000000142e+00,3.000000000000000000e+00,3.992911042685123135e+01,-1.794106509411954420e+01,0.000000000000000000e+00
1.169999999999999929e+00,3.000000000000000000e+00,3.969085393346540513e+01,-2.774908028207359578e+01,0.000000000000000000e+00
1.179999999999999938e+00,3.000000000000000000e+00,3.935450227919246657e+01,-3.755948683426059631e+01,0.000000000000000000e+00
1.189999999999999947e+00,3.000000000000000000e+00,3.891779115269229550e+01,-4.754011339114564549e+01,0.000000000000000000e+00
1.199999999999999956e+00,3.000000000000000000e+00,3.838384295348911479e+01,-5.729721209353546385e+01,0.000000000000000000e+00
1.209999999999999964e+00,3.000000000000000000e+00,3.775229129890786339e+01,-6.706223209672086227e+01,0.000000000000000000e+00
1.219999999999999973e+00,3.000000000000000000e+00,3.702300762020649216e+01,-7.684094505663155417e+01,0.000000000000000000e+00
1.229999999999999982e+00,3.000000000000000000e+00,3.619366129441387869e+01,-8.679648039196416676e+01,0.000000000000000000e+00
1.239999999999999991e+00,3.000000000000000000e+00,3.526722532288329148e+01,-9.654167635342555798e+01,0.000000000000000000e+00
1.250000000000000000e+00,3.000000000000000000e+00,3.424327591452554742e+01,-1.062994532315322544e+02,0.000000000000000000e+00
1.260000000000000009e+00,3.000000000000000000e+00,3.312164559908482175e+01,-1.160741821633034903e+02,0.000000000000000000e+00
1.270000000000000018e+00,3.000000000000000000e+00,3.190219059928996970e+01,-1.258614307094649121e+02,0.000000000000000000e+00
1.280000000000000027e+00,3.000000000000000000e+00,3.058479724282296885e+01,-1.356588262883649350e+02,0.000000000000000000e+00
1.290000000000000036e+00,3.000000000000000000e+00,2.916939341408524911e+01,-1.454621033836866673e+02,0.000000000000000000e+00
1.300000000000000044e+00,3.000000000000000000e+00,2.765825740078485140e+01,-1.550865902985969456e+02,0.000000000000000000e+00
1.310000000000000053e+00,3.000000000000000000e+00,2.604828866226351280e+01,-1.649395187423166931e+02,0.000000000000000000e+00
1.320000000000000062e+00,3.000000000000000000e+00,2.433976250821202569e+01,-1.747934432677504049e+02,0.000000000000000000e+00
1.330000000000000071e+00,3.000000000000000000e+00,2.253275582043546876e+01,-1.846374824115959541e+02,0.000000000000000000e+00
1.340000000000000080e+00,3.000000000000000000e+00,2.064754594757265238e+01,-1.898373874740271958e+02,1.000000000000000000e+00
1.350000000000000089e+00,3.000000000000000000e+00,1.887208105134029879e+01,-1.625467668822880114e+02,1.000000000000000000e+00
1.360000000000000098e+00,3.000000000000000000e+00,1.764353009399043515e+01,-9.203938891496305530e+01,1.000000000000000000e+00
1.370000000000000107e+00,3.000000000000000000e+00,1.719447899397942692e+01,-1.512080688395876749e+01,1.000000000000000000e+00
1.380000000000000115e+00,3.000000000000000000e+00,1.744191648119340243e+01,4.980858371578464983e+01,1.000000000000000000e+00
1.390000000000000124e+00,3.000000000000000000e+00,1.825690281515396407e+01,1.001685827951768033e+02,1.000000000000000000e+00
1.400000000000000133e+00,3.000000000000000000e+00,1.946882287682539570e+01,1.325876091077416845e+02,1.000000000000000000e+00
1.410000000000000142e+00,3.000000000000000000e+00,2.080753261943242194e+01,1.303522754377057709e+02,0.000000000000000000e+00
1.419999999999999929e+00,3.000000000000000000e+00,2.204951538174203662e+01,1.201035516898793816e+02,0.000000000000000000e+00
1.429999999999999938e+00,3.000000000000000000e+00,2.318930263379933621e+01,1.099074088276209835e+02,0.000000000000000000e+00
1.439999999999999947e+00,3.000000000000000000e+00,2.422535013660817427e+01,9.962873817379328045e+01,0.000000000000000000e+00
1.449999999999999956e+00,3.000000000000000000e+00,2.516183075080359899e+01,8.967371959886067145e+01,0.000000000000000000e+00
1.459999999999999964e+00,3.000000000000000000e+00,2.599918739956374480e+01,7.978241099520646173e+01,0.000000000000000000e+00
1.469999999999999973e+00,3.000000000000000000e+00,2.673783317620538824e+01,6.992252240399400876e+01,0.000000000000000000e+00
1.479999999999999982e+00,3.000000000000000000e+00,2.737799922555127097e+01,6.008118312745172318e+01,0.000000000000000000e+00
1.489999999999999991e+00,3.000000000000000000e+00,2.791982142874729433e+01,5.025066814843091834e+01,0.000000000000000000e+00
1.500000000000000000e+00,3.000000000000000000e+00,2.836337987488177248e+01,4.042662557229517262e+01,0.000000000000000000e+00
1.510000000000000009e+00,3.000000000000000000e+00,2.870872285043689232e+01,3.060647259973213608e+01,0.000000000000000000e+00
1.520000000000000018e+00,3.000000000000000000e+00,2.895588967301866035e+01,2.079011090222426361e+01,0.000000000000000000e+00
1.530000000000000027e+00,3.000000000000000000e+00,2.910489303368058955e+01,1.097411992142314752e+01,0.000000000000000000e+00
1.540000000000000036e+00,3.000000000000000000e+00,2.915348407630497007e+01,9.879133792530963021e-01,0.000000000000000000e+00
1.550000000000000044e+00,3.000000000000000000e+00,2.910478594698068378e+01,-8.773824492926820540e+00,0.000000000000000000e+00
1.560000000000000053e+00,3.000000000000000000e+00,2.895845522410633421e+01,-1.854092654597431533e+01,0.000000000000000000e+00
1.570000000000000062e+00,3.000000000000000000e+00,2.871437724175945405e+01,-2.832068635248883837e+01,0.000000000000000000e+00
1.580000000000000071e+00,3.000000000000000000e+00,2.837243348695783851e+01,-3.811141227546615085e+01,0.000000000000000000e+00
1.590000000000000080e+00,3.000000000000000000e+00,2.793253336064176295e+01,-4.790991760097622887e+01,0.000000000000000000e+00
1.600000000000000089e+00,3.000000000000000000e+00,2.739461570586230010e+01,-5.771354304880036068e+01,0.000000000000000000e+00
1.610000000000000098e+00,3.000000000000000000e+00,2.675864074008261184e+01,-6.752047974141966336e+01,0.000000000000000000e+00
1.620000000000000107e+00,3.000000000000000000e+00,2.602459097447444947e+01,-7.732843890707495405e+01,0.000000000000000000e+00
1.630000000000000115e+00,3.000000000000000000e+00,2.519244573429981315e+01,-8.713858973851519352e+01,0.000000000000000000e+00
1.640000000000000124e+00,3.000000000000000000e+00,2.426219608765789815e+01,-9.694934380047996569e+01,0.000000000000000000e+00
1.650000000000000133e+00,3.000000000000000000e+00,2.323383341322467643e+01,-1.067609834226783931e+02,0.000000000000000000e+00
1.660000000000000142e+00,3.000000000000000000e+00,2.210773080086133646e+01,-1.163831508605134673e+02,1.000000000000000000e+00
1.670000000000000151e+00,3.000000000000000000e+00,2.091232474438751510e+01,-1.196616757846302477e+02,1.000000000000000000e+00
1.679999999999999938e+00,3.000000000000000000e+00,1.978415827388483450e+01,-1.061499995072146447e+02,1.000000000000000000e+00
1.689999999999999947e+00,3.000000000000000000e+00,1.889197399382057085e+01,-7.551476783732010745e+01,1.000000000000000000e+00
1.699999999999999956e+00,3.000000000000000000e+00,1.841231115988192357e+01,-2.919140893599110953e+01,1.000000000000000000e+00
1.709999999999999964e+00,3.000000000000000000e+00,1.838291216719129650e+01,1.402934785557702924e+01,1.000000000000000000e+00
1.719999999999999973e+00,3.000000000000000000e+00,1.875456847954360384e+01,5.171353682826127596e+01,1.000000000000000000e+00
