time_s,step,phase,x_m,y_m,z_m,vx_m_s,vz_m_s,vy_m_s
0.14,14,crouch,0.029917717025408894,-0.02792973711779253,0.19397951126394894,0.10506621777697538,-0.4065379427002292,-0.12246183459965955
0.15,15,crouch,0.030965735386023745,-0.02915985285041884,0.18947832391123748,0.10472885285998534,-0.48026070836759405,-0.12333300561318264
0.16,16,crouch,0.03200990093043585,-0.030397324808303698,0.18419117701463236,0.10430127413292686,-0.5618833242430173,-0.12393003088474348
0.17,17,crouch,0.03305207755975588,-0.03163908770324904,0.17805343723728914,0.10417794632603827,-0.6489745420555668,-0.12433005255215264
0.18,18,crouch,0.034093675921661445,-0.03288450543081578,0.17102084228616432,0.10418130786454569,-0.7398544953546567,-0.12469786578123691
0.19,19,crouch,0.03513262884642755,-0.03413583774428264,0.1630788492799256,0.10271787081720604,-0.8255687047807023,-0.12630427326055638
0.2,20,crouch,0.03613001897453225,-0.035423101234225214,0.15545625252170073,0.10085027482626761,-0.6080292991364094,-0.12611106647777026
0.21,21,crouch,0.03725071503594496,-0.03654186588125805,0.15395712787726337,0.11836438373425215,0.12072719118033132,-0.10237013318668091
0.22,22,crouch,0.03846880661161093,-0.037437992811970196,0.15769787487275747,0.12208498718309656,0.48698162250396626,-0.08247724094436959
0.23,23,crouch,0.03966265435108063,-0.03820765297511741,0.16280339409181283,0.1185391864013098,0.4906489025851946,-0.07370698179882323
0.24,24,takeoff,0.04084779677194382,-0.03894492634433719,0.16712129839884038,0.11848514945577102,0.39232934254296425,-0.07373663954361528
0.25,25,takeoff,0.04417131450730314,-0.039552556031950105,0.17497499641986677,0.47712106344354505,1.1904316925137481,-0.04009317304488612
0.26,26,takeoff,0.047976499485136284,-0.040200661604448365,0.1903620893952517,0.39303973560949945,1.7978829684022193,-0.007281856331263506
0.27,27,takeoff,0.054461155779570496,-0.04029395870162592,0.21410734828166028,0.8054109079474621,2.74516589458378,0.004695808035670851
0.28,28,takeoff,0.05818210158834648,-0.03988444442193004,0.23648526954288926,0.463690333911369,2.212730183882006,0.0029323330975103423
0.29,29,takeoff,0.06412138098663968,-0.03939303621553156,0.2604094131492063,0.6022322158848195,2.368743560312418,0.06362534486256383
0.3,30,takeoff,0.06900266520364576,-0.0391577433954848,0.28231225506130025,0.5067826010496604,2.1639891146007533,0.027682111458533193
0.31,31,takeoff,0.07497632388970966,-0.038902113344123634,0.30465833129913594,0.5673953511249619,2.1364267696431742,0.031775232116356335
0.32,32,takeoff,0.08036571908406051,-0.03857614608508629,0.32576525157444647,0.5479944201898946,2.05492533052104,0.03359754452599415
0.33,33,takeoff,0.08604753053888975,-0.03826416072214178,0.3459669669537616,0.5679083426472769,1.9619563018615422,0.03254098566451936
0.34,34,takeoff,0.09163860504220542,-0.03792952594423649,0.36530217121201847,0.5632458858968804,1.8726727633985876,0.034133369735365626
0.35000000000000003,35,takeoff,0.09724251236709532,-0.037585846512501325,0.3832098463173254,0.5629318501858785,1.7408646832034207,0.035064189590250594
0.36,36,airborne,0.10282566050040243,-0.03723939072661362,0.3998784143282778,0.5610615618964471,1.6197536118576983,0.03535292176169255
0.37,37,airborne,0.10757585740623209,-0.036601855888658344,0.41074053867403126,0.369339411267939,0.8454952938682083,0.1474594424575238
0.38,38,airborne,0.11254688215584654,-0.03620131365234838,0.423502949723842,0.6401639382589337,1.4279432795686542,0.005634123382832243
0.39,39,airborne,0.11696164107650997,-0.03560747438051369,0.43483319951419064,0.3043208531973398,0.939372104585505,0.0955483925501523
0.4,40,airborne,0.12216901472928414,-0.035187842316031545,0.44641080825604523,0.669183472801314,1.2984686974913624,0.0055972227307344025
0.41000000000000003,41,airborne,0.12691052147628237,-0.034495821725739825,0.45651589753321176,0.34703624753255075,0.8228969258259959,0.11582685562381538
0.42,42,airborne,0.1324386219040831,-0.033946128243170476,0.46680416010608994,0.6498171412450144,1.0929517819473602,-0.03814926140512123
0.43,43,airborne,0.13760348268053707,-0.03332791810754947,0.47578330801729846,0.4698083946347662,0.8067774111108618,0.0851527139793125
0.44,44,airborne,0.14366970435167375,-0.03324329426976508,0.4845863486084866,0.640935901625074,0.8516416450525104,-0.006150617287332155
0.45,45,airborne,0.14925127740146574,-0.03286453489970949,0.49205366101457254,0.5042196368256334,0.679510280526522,0.06611273692223534
0.46,46,airborne,0.15505656718844812,-0.03261093082468335,0.49864674630425804,0.6320601349280206,0.6443505205455534,-0.0018911357198364565
0.47000000000000003,47,airborne,0.1605218793037979,-0.032205890608285305,0.5040957627611762,0.5141511563153033,0.4858113478136887,0.06979322837297741
0.48,48,airborne,0.16609784367372937,-0.031932223715292626,0.5086399024696658,0.5886195408852175,0.432990496009118,-0.0009812319867239377
